Wafer_Num,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Line_CD,Wavelength,Resolution,Energy_Exposure,Thin F4,Thin F3,Thin F2,Thin F1,Source_Power,Selectivity,Temp_Etching,Temp_Etching2,Temp_Etching3,Temp_Etching4,etching_rate_f1,etching_rate_f2,etching_rate_f3,etching_rate_f4
16,dry,872.5657741,O2,22.19,0.218,225,714.696,0.81659,16.811,14.964,20,200.793,90,500.793,4015.856,5019.82,5.022,91.409,30.007,38,436,555.801,108.991,142,1461,3640,5689,51.881,1.047,71.47,77.5399542,79.27993664,69.58003452,1457.96,2049,2179,1319
17,dry,872.3695463,O2,22.17,0.217,224,713.465,0.82715,15.987,15.047,19.998,200.125,90,500.125,4002.491,5003.113,5.01,91.643,30.002,31.46,436,550.755,108.858,200,1448,3635,5706,51.626,1.041,71.346,77.70995248,79.22993714,69.45003583,1428.65,2071,2187,1248
18,dry,872.2527033,O2,22.12,0.216,223,712.843,1.044,17.072,14.935,20.001,200.33,90.001,500.33,4006.608,5008.259,5.04,91.794,29.992,32.782,436,546.804,108.846,107,1370,3636,5721,51.506,1.038,71.284,77.85995097,79.23993704,68.6700437,1407.43,2085,2266,1263
19,dry,871.975026,O2,22.11,0.217,224,713.454,0.83434,16.87,14.996,20.001,200.338,90,500.338,4006.751,5008.438,5.009,91.771,29.995,29.906,436,550.457,108.913,53,1311,3635,5721,51.632,1.041,71.345,77.85995097,79.22993714,68.08004966,1413.54,2086,2324,1258
20,dry,871.3201245,O2,22.12,0.217,224,713.224,0.6944,17.148,14.973,20.005,201.015,90,501.015,4020.293,5025.366,5.026,92.076,29.996,35.244,436,552.697,109.409,228,1356,3640,5721,51.699,1.042,71.322,77.85995097,79.27993664,68.53004512,1411.24,2081,2284,1128
21,dry,871.5156406,O2,22.1,0.218,225,714.11,0.89266,16.694,15.105,20.003,201.475,90,501.475,4029.509,5036.887,5.017,92.009,29.99,39.437,436,546.286,109.337,182,1372,3640,5704,51.862,1.047,71.411,77.68995268,79.27993664,68.6900435,1437.1,2064,2268,1190
22,dry,871.5312982,O2,22.11,0.217,224,713.825,0.71561,16.661,14.898,19.999,201.129,90,501.129,4022.588,5028.235,5.028,92.478,29.997,42.086,436,543.498,110.06,136,1308,3634,5705,51.928,1.048,71.383,77.69995258,79.21993724,68.05004996,1433.25,2071,2326,1172
23,dry,872.3137478,O2,22.1,0.219,226,715.172,0.85345,16.157,15.019,19.997,202.083,90,502.083,4041.659,5052.074,5.058,91.649,30.001,31.482,436,544.819,109.031,160,1306,3637,5715,52.139,1.053,71.517,77.79995157,79.24993694,68.03005016,1436.72,2078,2331,1146
24,dry,871.1639191,O2,22.1,0.216,223,713.038,0.91509,17.257,15.055,19.997,200.38,90,500.38,4007.602,5009.502,5.008,92.17,29.989,43.236,436,559.819,109.34,132,1373,3637,5729,51.748,1.044,71.304,77.93995016,79.24993694,68.7000434,1401.38,2092,2264,1241
25,dry,871.4705615,O2,22.1,0.216,223,712.958,0.90035,17.28,14.954,19.998,200.637,90,500.637,4012.742,5015.927,5.009,91.839,30.005,35.818,436,560.269,109.205,145,1413,3638,5723,51.876,1.047,71.296,77.87995077,79.25993684,69.10003936,1406.58,2085,2225,1268
26,dry,871.7683051,O2,22.09,0.217,224,714.001,0.88812,17.19,14.968,20,200.409,89.999,500.409,4008.184,5010.23,5.016,91.864,29.99,34.683,436,552.795,109.331,114,1282,3635,5696,51.904,1.048,71.4,77.60995349,79.22993714,67.79005258,1444.01,2061,2353,1168
27,dry,871.2876685,O2,22.1,0.217,224,713.848,0.7983,16.27,15.041,20,200.856,90,500.856,4017.12,5021.4,5.021,91.992,29.996,45.552,436,552.984,109.671,210,1428,3644,5732,51.894,1.047,71.385,77.96994986,79.31993624,69.25003785,1406.48,2088,2216,1218
1,dry,872.1675295,O2,22.1,0.219,226,715.199,0.54712,16.624,15.066,19.999,201.343,90,501.343,4026.868,5033.585,5.017,91.995,29.994,38.42,436,552.143,109.603,191,1382,3640,5690,52.092,1.052,71.52,77.5499541,79.27993664,68.79004249,1461.99,2050,2258,1191
2,dry,870.8549225,O2,22.1,0.219,226,715.385,0.80815,16.706,14.957,20.004,201.388,90,501.388,4027.76,5034.7,5.033,92.461,29.996,40.362,436,554.379,109.975,180,1403,3636,5711,52.101,1.053,71.539,77.75995198,79.23993704,69.00004037,1442.85,2075,2233,1223
3,dry,871.3250502,O2,22.11,0.219,226,715.44,0.81602,15.742,15.039,19.998,201.048,90,501.048,4020.959,5026.199,5.028,92.843,30.002,49.535,436,539.611,110.531,241,1372,3637,5704,52.168,1.054,71.544,77.68995268,79.24993694,68.6900435,1450.4,2067,2265,1131
4,dry,871.9026319,O2,22.1,0.22,227,716.953,0.67929,16.097,15.052,19.995,202.063,90,502.063,4041.264,5051.58,5.045,92.313,29.994,48.873,436,543.765,110.704,210,1448,3646,5694,52.326,1.058,71.695,77.58995369,79.33993603,69.45003583,1475.53,2048,2198,1238
5,dry,872.372823,O2,22.09,0.22,227,716.079,0.89418,16.81,14.916,19.998,201.574,90.001,501.574,4031.484,5039.355,5.024,91.672,30.011,38.145,436,557.198,109.671,136,1428,3640,5721,52.369,1.059,71.608,77.85995097,79.27993664,69.25003785,1439.79,2081,2212,1292
6,dry,871.8744387,O2,22.08,0.219,226,715.605,1.02064,16.806,14.863,19.999,200.921,90,500.921,4018.416,5023.02,4.998,91.667,30.005,40.408,436,559.368,109.111,198,1388,3641,5726,51.699,1.042,71.56,77.90995046,79.28993654,68.85004189,1430.05,2085,2253,1190
7,dry,871.7072146,O2,22.05,0.217,224,713.967,0.92089,17.095,14.914,20,200.286,90.001,500.286,4005.711,5007.138,4.994,91.31,29.998,24.251,436,551.846,108.36,186,1388,3645,5729,51.598,1.04,71.397,77.93995016,79.32993613,68.85004189,1410.67,2084,2257,1202
8,dry,870.5105735,O2,22.03,0.217,224,713.483,0.84419,16.473,14.978,19.996,199.381,90.001,499.381,3987.622,4984.527,4.985,91.497,30.003,30.525,436,551.722,108.611,195,1358,3642,5732,51.548,1.039,71.348,77.96994986,79.29993644,68.55004491,1402.83,2090,2284,1163
9,dry,871.4561746,O2,22.04,0.217,224,713.627,0.8699,17.239,14.966,19.995,199.125,90,499.125,3982.507,4978.133,4.99,91.532,30.006,36.502,436,553.742,108.924,270,1368,3639,5720,51.571,1.039,71.363,77.84995107,79.26993674,68.65004391,1416.27,2081,2271,1098
10,dry,871.2889254,O2,22.03,0.218,225,714.956,0.79198,16.812,15.039,19.997,199.951,90,499.951,3999.023,4998.779,4.98,91.009,29.998,24.124,436,553.393,108.303,185,1459,3646,5692,51.729,1.043,71.496,77.56995389,79.33993603,69.56003472,1457.56,2046,2187,1274
11,dry,872.2062123,O2,22.05,0.217,224,713.64,0.97443,16.467,14.944,20.003,198.914,90,498.914,3978.273,4972.841,4.971,90.769,29.995,29.507,436,555.049,108.042,363,1508,3656,5702,51.523,1.038,71.364,77.66995289,79.43993502,70.05002978,1434.4,2046,2148,1145
12,dry,871.5021153,O2,22.06,0.216,223,712.976,1.23171,16.468,14.918,20.003,198.11,90,498.11,3962.196,4952.745,4.961,91.265,30.002,37.901,436,558.813,108.924,243,1459,3646,5721,51.41,1.035,71.298,77.85995097,79.33993603,69.56003472,1408.76,2075,2187,1216
13,dry,871.504701,O2,22.05,0.219,226,715.564,0.71339,17.202,15.109,20.006,200.097,90,500.097,4001.938,5002.422,4.999,91.5,29.996,34.094,436,554.717,109.182,281,1497,3651,5688,51.932,1.048,71.556,77.5299543,79.38993553,69.94003089,1467.64,2037,2154,1216
14,dry,871.8009857,O2,22.03,0.219,226,715.604,1.04384,17.96,15.011,19.997,199.352,89.999,499.352,3987.046,4983.808,4.986,90.816,30.002,29.246,436,549.091,108.335,326,1514,3653,5696,51.904,1.048,71.56,77.60995349,79.40993533,70.11002917,1460.04,2043,2139,1188
15,dry,870.5353831,O2,22.04,0.218,225,714.557,0.97059,16.942,14.933,20,198.157,90.001,498.157,3963.138,4953.923,4.962,91.354,30.002,43.378,436,553.48,109.471,345,1492,3652,5729,51.51,1.038,71.456,77.93995016,79.39993543,69.89003139,1416.57,2077,2160,1147
16,dry,871.4795899,O2,22.04,0.22,227,716.48,0.84388,16.878,14.954,19.999,200.323,90,500.323,4006.461,5008.076,4.982,91.072,30.003,42.33,436,553.143,109.929,325,1442,3657,5711,52.03,1.051,71.648,77.75995198,79.44993492,69.39003644,1453.8,2054,2215,1117
17,dry,871.143145,O2,21.96,0.22,227,716.51,1.00622,15.955,15.007,20.003,199.256,90,499.256,3985.114,4981.392,4.984,90.916,30.004,38.55,436,555.78,109.747,365,1538,3657,5709,52.084,1.052,71.651,77.73995218,79.44993492,70.35002675,1456.1,2052,2119,1173
18,dry,871.010621,O2,21.94,0.22,227,716.331,1.05465,16.326,15.055,20.003,199.396,90,499.396,3987.912,4984.89,4.958,90.657,30.005,39.991,436,558.537,109.093,625,1515,3677,5719,51.986,1.05,71.633,77.83995117,79.64993291,70.12002907,1444.31,2042,2162,890
19,dry,871.4748208,O2,22.13,0.213,220,709.949,0.57505,16.868,15.11,20,202.855,89.999,502.855,4057.107,5071.384,5.06,92.945,29.996,19.408,436,550.221,107.745,50,1422,3631,5703,50.934,1.023,70.995,77.67995278,79.18993755,69.19003846,1396.49,2072,2209,1372
20,dry,871.395986,O2,22.14,0.213,220,709.495,0.79649,17.421,15.069,20.001,203.441,90,503.441,4068.827,5086.034,5.103,93.683,29.994,28.894,436,546.867,108.327,214,1453,3636,5722,51.06,1.027,70.95,77.86995087,79.23993704,69.50003533,1372.95,2086,2183,1239
21,dry,872.3889367,O2,22.14,0.213,220,710.112,0.81782,17.509,15.029,20.001,204.091,90,504.091,4081.827,5102.283,5.122,93.935,30.01,39.421,436,553.719,109.144,136,1450,3633,5702,51.492,1.037,71.011,77.66995289,79.20993735,69.47003563,1399.12,2069,2183,1314
22,dry,872.8802881,O2,22.14,0.215,222,711.589,0.76717,16.877,14.896,19.995,205.684,90,505.684,4113.674,5142.092,5.124,92.576,29.996,19.43,436,553.769,107.464,95,1338,3633,5724,51.537,1.038,71.159,77.88995067,79.20993735,68.35004693,1391.89,2091,2295,1243
23,dry,871.8084556,O2,22.15,0.213,220,709.742,0.88754,16.717,14.888,20.002,202.524,90.001,502.524,4050.485,5063.106,5.072,92.969,29.999,28.585,436,548.822,108.066,151,1455,3631,5712,51.127,1.028,70.974,77.76995188,79.18993755,69.52003513,1385.42,2081,2176,1304
24,dry,872.3073461,O2,22.23,0.213,220,709.498,0.96266,16.684,14.95,19.999,203.733,89.999,503.733,4074.654,5093.318,5.08,93.218,30.006,25.438,436,552.475,108.465,53,1342,3631,5717,51.203,1.03,70.95,77.81995137,79.18993755,68.39004653,1377.98,2086,2289,1289
25,dry,871.5513535,O2,22.16,0.212,219,709.085,0.96179,17.103,14.937,20,204.448,90,504.448,4088.958,5111.198,5.122,93.574,29.997,32.084,436,544.71,109.136,148,1369,3629,5722,51.425,1.036,70.909,77.86995087,79.16993775,68.6600438,1368.85,2093,2260,1221
26,dry,872.2408441,O2,22.17,0.214,221,710.536,1.11455,16.597,14.956,19.997,204.603,90,504.603,4092.063,5115.078,5.089,92.934,30.002,14.799,436,546.757,107.732,188,1388,3638,5727,51.231,1.031,71.054,77.91995036,79.25993684,68.85004189,1378.36,2089,2250,1200
27,dry,871.7324708,O2,22.15,0.21,217,706.929,0.90259,16.756,14.922,19.995,202.727,90,502.727,4054.55,5068.187,5.071,92.755,30.005,17.83,436,550.156,107.203,221,1378,3635,5686,51.008,1.025,70.693,77.5099545,79.22993714,68.7500429,1383.29,2051,2257,1157
1,dry,871.651861,O2,22.15,0.21,217,706.65,0.6718,16.343,14.994,20.003,202.346,89.999,502.346,4046.92,5058.65,5.044,92.354,29.998,30.393,436,565.422,106.942,256,1441,3639,5720,50.887,1.022,70.665,77.84995107,79.26993674,69.38003654,1346.5,2081,2198,1185
2,dry,871.3413037,O2,22.15,0.209,216,705.856,0.86882,15.891,15.017,20.001,201.798,90,501.798,4035.953,5044.941,5.052,92.819,30.004,23.104,436,562.43,107.824,191,1328,3636,5714,50.914,1.023,70.586,77.78995167,79.23993704,68.25004794,1344.56,2078,2308,1137
3,dry,872.0034233,O2,22.15,0.211,218,707.484,1.02722,16.954,14.899,19.997,203.082,90,503.082,4061.647,5077.059,5.078,92.306,29.995,16.981,436,547.869,107.096,224,1418,3639,5702,51.262,1.032,70.748,77.66995289,79.26993674,69.15003886,1372.84,2063,2221,1194
4,dry,871.3933033,O2,22.15,0.21,217,706.93,0.64198,16.406,14.939,20.001,202.085,89.999,502.085,4041.702,5052.128,5.043,93.387,29.997,32.751,436,549.126,109.133,122,1408,3630,5717,50.996,1.025,70.693,77.81995137,79.17993765,69.05003987,1352.3,2087,2222,1286
5,dry,871.7412666,O2,22.17,0.213,220,709.798,0.84431,16.443,14.913,20.004,204.517,89.998,504.517,4090.335,5112.919,5.108,93.2,30.005,30.79,436,552.745,108.555,236,1391,3636,5714,51.72,1.043,70.98,77.78995167,79.23993704,68.88004158,1383.98,2078,2245,1155
6,dry,872.0376085,O2,22.17,0.212,219,709.083,0.95386,16.222,15.128,20.001,202.992,90.001,502.992,4059.845,5074.806,5.081,93.177,30.002,25.231,436,549.41,108.518,286,1349,3635,5680,51.437,1.036,70.908,77.44995511,79.22993714,68.46004582,1410.83,2045,2286,1063
7,dry,871.477974,O2,22.15,0.213,220,709.835,0.9912,17.019,14.931,20.005,203.729,90,503.729,4074.581,5093.226,5.065,92.822,30.009,31.899,436,562.959,108.407,174,1432,3635,5729,51.358,1.034,70.984,77.93995016,79.22993714,69.29003745,1369.35,2094,2203,1258
8,dry,871.6370098,O2,22.14,0.213,220,709.288,1.08232,16.593,14.963,20.001,203.311,90,503.311,4066.225,5082.781,5.088,93.28,29.999,28.066,436,543.316,108.888,136,1331,3630,5717,51.567,1.039,70.929,77.81995137,79.17993765,68.28004764,1375.88,2087,2299,1195
9,dry,872.2525238,O2,22.16,0.213,220,709.286,0.90366,16.864,14.986,19.997,203.885,90,503.885,4077.709,5097.137,5.118,92.893,29.995,29.83,436,548.989,108.531,208,1350,3632,5719,51.831,1.046,70.929,77.83995117,79.19993745,68.47004572,1373.86,2087,2282,1142
10,dry,872.1878902,O2,22.17,0.214,221,710.471,1.07572,17.768,15.056,20.002,203.915,90,503.915,4078.307,5097.884,5.095,93.599,29.994,38.256,436,542.454,109.373,404,1460,3649,5687,51.579,1.039,71.047,77.5199544,79.36993573,69.57003462,1417.71,2038,2189,1056
11,dry,871.8763382,O2,22.18,0.214,221,711.086,1.15825,16.266,15.075,19.995,204.393,90,504.393,4087.868,5109.835,5.118,93.526,30.011,32.194,436,546.144,109.183,111,1260,3631,5681,51.717,1.043,71.109,77.459955,79.18993755,67.5700548,1429.86,2050,2371,1149
12,dry,872.1512961,O2,22.16,0.215,222,711.327,0.91222,16.985,15.119,20.003,203.99,90,503.99,4079.809,5099.761,5.09,92.831,30,30.328,436,560.847,107.964,217,1337,3638,5720,51.574,1.039,71.133,77.84995107,79.25993684,68.34004703,1393.27,2082,2301,1120
13,dry,872.3514959,O2,22.18,0.213,220,709.459,1.02492,15.778,15.15,19.995,203.293,89.999,503.293,4065.858,5082.323,5.086,93.502,30.008,37.438,436,551.252,109.051,177,1323,3633,5709,51.451,1.036,70.946,77.73995218,79.20993735,68.20004845,1385.59,2076,2310,1146
14,dry,871.8682905,O2,22.18,0.214,221,710.33,1.09122,16.053,15.03,19.999,204.02,90,504.02,4080.394,5100.492,5.096,93.504,30.008,32.18,436,547.369,109.161,193,1511,3637,5696,51.592,1.04,71.033,77.60995349,79.24993694,70.08002948,1407.3,2059,2126,1318
15,dry,871.8874713,O2,22.18,0.215,222,711.374,0.94038,16.584,15,19.998,204.503,90,504.503,4090.053,5112.566,5.102,93.713,29.995,35.603,436,546.557,109.587,237,1488,3641,5691,51.717,1.043,71.137,77.559954,79.28993654,69.8500318,1422.74,2050,2153,1251
16,dry,872.3467639,O2,22.17,0.216,223,712.339,1.07401,17.535,15.027,20,205.225,90,505.225,4104.503,5130.629,5.126,93.573,30.017,46.454,436,553.258,109.746,255,1482,3641,5729,51.851,1.046,71.234,77.93995016,79.28993654,69.7900324,1394.39,2088,2159,1227
17,dry,871.8871054,O2,22.16,0.216,223,712.491,0.92206,17.288,14.912,20.001,204.475,90,504.475,4089.491,5111.864,5.1,93.338,29.999,34.835,436,547.627,109.378,256,1482,3643,5709,51.735,1.043,71.249,77.73995218,79.30993634,69.7900324,1415.91,2066,2161,1226
18,dry,872.0227477,O2,22.17,0.215,222,711.695,0.79623,17.265,15,20.002,203.917,90.001,503.917,4078.335,5097.919,5.102,93.463,30.001,34.207,436,547.84,109.377,151,1386,3634,5711,51.714,1.043,71.169,77.75995198,79.21993724,68.83004209,1405.95,2077,2248,1235
19,dry,871.8575757,O2,22.15,0.215,222,711.527,1.05757,16.547,14.913,19.99,204.601,90,504.601,4092.02,5115.025,5.111,93.421,30.004,42.31,436,557.006,109.311,206,1519,3641,5725,51.744,1.044,71.153,77.89995056,79.28993654,70.16002867,1390.27,2084,2122,1313
20,dry,872.3701521,O2,22.15,0.215,222,711.963,0.92897,16.544,15.001,19.999,203.783,90,503.783,4075.654,5094.568,5.093,93.335,29.997,32.788,436,542.295,109.295,158,1394,3637,5693,51.704,1.043,71.196,77.57995379,79.24993694,68.91004128,1426.63,2056,2243,1236
21,dry,871.5555397,O2,22.16,0.215,222,711.736,0.83374,16.461,14.99,19.999,204.443,90,504.443,4088.858,5111.072,5.101,93.584,30.002,36.083,436,543.142,109.724,278,1446,3641,5689,51.699,1.042,71.174,77.5399542,79.28993654,69.43003603,1428.36,2048,2195,1168
22,dry,871.8950263,O2,22.15,0.216,223,712.87,0.79838,16.131,14.99,19.998,204.517,90.001,504.517,4090.339,5112.924,5.112,93.311,29.996,36.508,436,545.692,109.136,381,1519,3656,5713,51.796,1.045,71.287,77.77995178,79.43993502,70.16002867,1415.7,2057,2137,1138
23,dry,871.7133155,O2,22.15,0.215,222,711.696,0.98389,17.234,15.04,20.003,203.741,90,503.741,4074.826,5093.533,5.113,93.575,30.008,36.34,436,556.01,109.347,297,1509,3645,5708,51.694,1.042,71.17,77.72995228,79.32993613,70.06002968,1408.96,2063,2136,1212
24,dry,871.954572,O2,22.12,0.215,222,711.642,0.87622,16.95,15.079,20.005,204.076,89.999,504.076,4081.513,5101.892,5.088,92.839,29.992,30.242,436,548.256,108.67,212,1455,3639,5698,51.679,1.042,71.164,77.62995329,79.26993674,69.52003513,1418.42,2059,2184,1243
25,dry,871.0201261,O2,22.12,0.215,222,711.194,0.90867,16.656,14.903,19.994,203.471,90.001,503.471,4069.412,5086.765,5.087,93.256,29.993,33.182,436,548.616,109.223,177,1377,3640,5687,51.595,1.04,71.119,77.5199544,79.27993664,68.740043,1424.94,2047,2263,1200
26,dry,871.5725408,O2,22.14,0.216,223,712.558,0.71989,16.692,14.96,19.998,203.888,90,503.888,4077.769,5097.211,5.097,93.546,30.005,37.54,436,544.81,109.858,190,1465,3636,5722,51.811,1.045,71.256,77.86995087,79.23993704,69.62003412,1403.58,2086,2171,1275
27,dry,872.0957101,O2,22.15,0.217,224,714.02,0.96888,17.26,14.965,20.001,205.056,90,505.056,4101.112,5126.39,5.103,93.38,29.997,43.585,436,543.356,109.779,204,1388,3641,5728,51.834,1.046,71.402,77.92995026,79.28993654,68.85004189,1412.2,2087,2253,1184
1,dry,872.3819847,O2,22.16,0.216,223,712.87,1.00154,16.862,14.931,19.998,204.702,89.999,504.702,4094.047,5117.559,5.107,93.529,29.988,47.83,436,548.32,110.53,205,1491,3641,5683,51.867,1.047,71.287,77.4799548,79.28993654,69.88003149,1445.7,2042,2150,1286
2,dry,871.8900241,O2,22.17,0.219,226,716.026,0.93292,16.674,14.908,19.998,204.234,90,504.234,4084.68,5105.85,5.116,93.645,30.001,37.494,436,541.911,109.924,215,1406,3643,5703,52.199,1.055,71.603,77.67995278,79.30993634,69.03004007,1457.26,2060,2237,1191
3,dry,871.7859734,O2,22.17,0.219,226,715.157,0.99309,16.873,14.917,19.998,204.556,89.998,504.556,4091.123,5113.904,5.102,93.474,29.994,45.14,436,542.695,109.945,174,1448,3637,5706,51.977,1.049,71.516,77.70995248,79.24993694,69.45003583,1445.57,2069,2189,1274
4,dry,871.956216,O2,22.16,0.217,224,713.608,1.0494,16.78,14.912,20.001,204.212,89.999,504.212,4084.234,5105.292,5.098,93.241,30,39.937,436,547.454,109.814,204,1377,3642,5696,52.042,1.051,71.361,77.60995349,79.29993644,68.740043,1440.08,2054,2265,1173
5,dry,872.1269792,O2,22.16,0.216,223,712.692,0.93368,16.36,14.966,19.999,204.238,90.001,504.238,4084.761,5105.951,5.121,94.516,29.999,45.357,436,532.047,111.247,277,1456,3639,5706,52.165,1.054,71.269,77.70995248,79.26993674,69.53003503,1420.92,2067,2183,1179
6,dry,872.0913097,O2,22.17,0.218,225,714.415,0.51565,16.591,15.14,20.001,206.204,89.999,506.204,4124.072,5155.091,5.163,94.396,29.99,54.056,436,537.644,111.176,235,1420,3643,5722,52.573,1.064,71.441,77.86995087,79.30993634,69.17003866,1422.15,2079,2223,1185
7,dry,872.08619,O2,22.17,0.219,226,715.404,0.49182,16.869,14.947,20.004,206.338,90.001,506.338,4126.758,5158.447,5.146,93.776,29.996,42.706,436,542.278,110.133,204,1393,3638,5706,52.562,1.064,71.54,77.70995248,79.25993684,68.90004138,1448.04,2068,2245,1189
8,dry,871.5259247,O2,22.2,0.217,224,713.132,0.97399,17.701,15.056,20.001,205.604,90,505.604,4112.073,5140.092,5.132,94.389,30.001,48.753,436,546.736,111.052,267,1410,3640,5690,52.23,1.056,71.313,77.5499541,79.27993664,69.07003967,1441.32,2050,2230,1143
9,dry,872.2034211,O2,22.18,0.218,225,714.295,0.95345,15.958,15.076,19.997,206.116,90,506.116,4122.317,5152.896,5.115,93.043,30.007,31.512,436,544.737,108.828,144,1471,3640,5685,52.225,1.056,71.43,77.4999546,79.27993664,69.68003351,1457.95,2045,2169,1327
10,dry,871.9966538,O2,22.15,0.213,220,710.114,1.02764,15.916,15.084,19.997,203.642,90,503.642,4072.835,5091.044,5.104,93.541,30,39.583,436,547.376,109.784,183,1417,3637,5700,51.705,1.043,71.011,77.64995309,79.24993694,69.14003896,1401.14,2063,2220,1234
11,dry,871.9976645,O2,22.15,0.214,221,710.617,0.78214,16.247,15.101,20.002,204.42,90.001,504.42,4088.407,5110.509,5.114,93.317,30.001,34.607,436,543.418,109.532,227,1418,3639,5726,51.891,1.047,71.062,77.90995046,79.26993674,69.15003886,1380.17,2087,2221,1191
