No_Die,Datetime,Lot_Num,Wafer_Num,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Current,Temp_implantation,Furance_Temp,RTA_Temp
NOLSM17117,17-02-2019 ?? 9:04:30,1,17,3,Implantation,1.29E+16,5.54E+16,5.80E+17,3.00E+17,6.00E+17,31197.908,0.01,103.454,910,155
NOLSM18118,17-02-2019 ?? 9:04:30,1,18,3,Implantation,8.41E+15,1.66E+17,9.85E+17,3.00E+17,6.00E+17,31359.595,0.01,103.046,894,156
NOLSM19119,17-02-2019 ?? 9:04:30,1,19,2,Implantation,1.30E+16,1.00E+17,7.40E+17,3.02E+17,6.00E+17,32409.504,0.01,106.244,899,154
NOLSM20120,17-02-2019 ?? 9:04:30,1,20,1,Implantation,1.23E+16,9.30E+16,2.59E+17,3.03E+17,6.00E+17,32922.767,0.01,104.804,923,152
NOLSM21121,17-02-2019 ?? 9:04:30,1,21,1,Implantation,1.42E+16,1.87E+16,2.19E+17,3.01E+17,6.00E+17,30786.77,0.01,101.334,920,154
NOLSM22122,17-02-2019 ?? 9:04:30,1,22,2,Implantation,9.74E+15,1.41E+17,3.60E+17,3.00E+17,6.00E+17,30857.277,0.01,101.933,897,154
NOLSM23123,17-02-2019 ?? 9:04:30,1,23,3,Implantation,1.26E+16,3.11E+16,7.90E+17,3.02E+17,6.00E+17,32295.6,0.01,100.745,884,155
NOLSM24124,17-02-2019 ?? 9:04:30,1,24,3,Implantation,5.21E+15,4.09E+16,6.66E+17,3.01E+17,6.00E+17,31614.158,0.01,104.38,917,155
NOLSM25125,17-02-2019 ?? 9:04:30,1,25,2,Implantation,1.77E+16,1.31E+17,9.92E+17,3.01E+17,6.00E+17,30534.747,0.01,100.517,915,156
NOLSM26126,17-02-2019 ?? 9:04:30,1,26,1,Implantation,2.05E+16,1.43E+17,5.00E+17,3.00E+17,6.00E+17,32268.828,0.01,102.998,898,159
NOLSM27127,17-02-2019 ?? 9:04:30,1,27,1,Implantation,1.01E+16,2.13E+16,7.53E+17,3.02E+17,6.00E+17,31093.054,0.01,101.814,903,156
NOLSM2821,18-02-2019 ?? 9:04:30,2,1,2,Implantation,5.93E+15,9.22E+16,1.20E+17,3.00E+17,6.00E+17,31490.992,0.01,105.795,890,154
NOLSM2922,18-02-2019 ?? 9:04:30,2,2,3,Implantation,1.12E+16,9.48E+16,5.56E+17,3.01E+17,6.00E+17,32725.266,0.01,103.911,911,156
NOLSM3023,18-02-2019 ?? 9:04:30,2,3,3,Implantation,7.30E+15,6.26E+16,8.16E+17,3.01E+17,6.00E+17,31538.328,0.01,103.924,896,152
NOLSM3124,18-02-2019 ?? 9:04:30,2,4,1,Implantation,1.79E+16,9.12E+16,6.31E+17,3.00E+17,6.00E+17,31998.259,0.01,100.411,920,154
NOLSM3225,18-02-2019 ?? 9:04:30,2,5,1,Implantation,9.72E+15,8.64E+16,6.33E+17,3.00E+17,6.00E+17,31811.636,0.01,103.273,923,154
NOLSM3326,18-02-2019 ?? 9:04:30,2,6,3,Implantation,1.34E+16,1.69E+17,3.92E+17,3.01E+17,6.00E+17,32124.08,0.01,104.34,900,157
NOLSM3427,18-02-2019 ?? 9:04:30,2,7,3,Implantation,8.52E+15,1.90E+17,5.61E+17,2.98E+17,6.00E+17,30891.41,0.01,100.362,910,154
NOLSM3528,18-02-2019 ?? 9:04:30,2,8,2,Implantation,9.28E+15,1.04E+17,8.95E+17,3.01E+17,6.00E+17,31517.072,0.01,105.868,885,153
NOLSM3629,18-02-2019 ?? 9:04:30,2,9,1,Implantation,1.42E+16,1.32E+17,8.00E+17,3.00E+17,6.00E+17,31790.504,0.01,100.638,867,150
NOLSM37210,18-02-2019 ?? 9:04:30,2,10,1,Implantation,6.52E+15,8.25E+16,6.08E+17,3.01E+17,6.00E+17,32067.825,0.01,102.656,901,154
NOLSM38211,18-02-2019 ?? 9:04:30,2,11,2,Implantation,1.42E+16,1.49E+17,5.79E+17,3.01E+17,6.00E+17,31126.867,0.01,105.072,893,158
NOLSM39212,18-02-2019 ?? 9:04:30,2,12,3,Implantation,1.13E+16,1.13E+17,6.93E+16,2.99E+17,6.00E+17,31104.203,0.01,102.618,923,157
NOLSM40213,18-02-2019 ?? 9:04:30,2,13,3,Implantation,1.11E+16,1.23E+17,4.51E+17,3.02E+17,6.00E+17,32566.66,0.01,99.988,887,155
NOLSM41214,18-02-2019 ?? 9:04:30,2,14,2,Implantation,1.03E+16,8.15E+16,6.38E+17,3.01E+17,6.00E+17,32521.877,0.01,99.525,892,153
NOLSM42215,18-02-2019 ?? 9:04:30,2,15,1,Implantation,1.33E+16,3.68E+16,4.29E+17,3.01E+17,6.00E+17,31358.645,0.01,105.044,899,152
NOLSM43216,18-02-2019 ?? 9:04:30,2,16,1,Implantation,1.06E+16,1.22E+16,3.96E+17,3.01E+17,6.00E+17,31818.475,0.01,102.605,920,152
NOLSM44217,18-02-2019 ?? 9:04:30,2,17,2,Implantation,1.69E+16,9.40E+16,5.70E+17,3.01E+17,6.00E+17,31391.261,0.01,106.14,911,159
NOLSM45218,18-02-2019 ?? 9:04:30,2,18,3,Implantation,6.16E+15,1.62E+17,5.93E+17,3.01E+17,6.00E+17,32378.318,0.01,104.608,900,150
NOLSM46219,18-02-2019 ?? 9:04:30,2,19,3,Implantation,1.05E+16,1.83E+17,6.40E+17,3.00E+17,6.00E+17,31655.809,0.01,106.163,892,151
NOLSM47220,18-02-2019 ?? 9:04:30,2,20,2,Implantation,1.22E+16,8.92E+16,1.19E+17,3.00E+17,6.00E+17,31475.03,0.01,104.423,867,155
NOLSM48221,18-02-2019 ?? 9:04:30,2,21,1,Implantation,1.01E+16,1.34E+17,5.19E+17,3.01E+17,6.00E+17,32535.703,0.01,100.868,894,153
NOLSM49222,18-02-2019 ?? 9:04:30,2,22,1,Implantation,6.90E+15,7.73E+16,7.22E+17,3.00E+17,6.00E+17,30855.391,0.01,104.158,891,151
NOLSM50223,18-02-2019 ?? 9:04:30,2,23,2,Implantation,1.58E+16,7.24E+16,1.70E+17,3.00E+17,6.00E+17,31108.4,0.01,102.193,871,159
NOLSM51224,18-02-2019 ?? 9:04:30,2,24,3,Implantation,9.80E+15,1.17E+17,9.72E+17,2.99E+17,6.00E+17,31638.792,0.01,105.637,920,157
NOLSM52225,18-02-2019 ?? 9:04:30,2,25,3,Implantation,6.71E+15,1.33E+17,5.45E+17,3.01E+17,6.00E+17,32033.214,0.01,103.982,905,152
NOLSM53226,18-02-2019 ?? 9:04:30,2,26,2,Implantation,1.28E+16,7.66E+16,5.94E+17,2.99E+17,6.00E+17,31929.509,0.01,102.576,893,154
NOLSM54227,18-02-2019 ?? 9:04:30,2,27,1,Implantation,1.78E+16,7.44E+16,7.06E+17,3.01E+17,6.00E+17,32769.049,0.01,101.986,898,155
NOLSM5531,19-02-2019 ?? 9:04:30,3,1,1,Implantation,1.14E+16,6.87E+16,3.72E+17,3.01E+17,6.00E+17,32331.242,0.01,102.757,923,157
NOLSM5632,19-02-2019 ?? 9:04:30,3,2,2,Implantation,1.20E+16,4.77E+16,1.15E+18,3.00E+17,6.00E+17,32326.879,0.01,102.2,901,154
NOLSM5733,19-02-2019 ?? 9:04:30,3,3,3,Implantation,1.11E+16,1.06E+17,2.61E+17,3.02E+17,6.00E+17,31066.014,0.01,103.558,897,151
NOLSM5834,19-02-2019 ?? 9:04:30,3,4,2,Implantation,3.42E+15,8.51E+16,6.48E+17,3.01E+17,6.00E+17,31522.953,0.01,101.965,873,154
NOLSM5935,19-02-2019 ?? 9:04:30,3,5,1,Implantation,1.20E+16,1.31E+17,2.83E+17,3.00E+17,6.00E+17,33101.496,0.01,100.915,866,150
NOLSM6036,19-02-2019 ?? 9:04:30,3,6,1,Implantation,1.37E+16,1.03E+17,9.18E+17,2.98E+17,6.00E+17,30821.235,0.01,103.236,895,157
NOLSM6137,19-02-2019 ?? 9:04:30,3,7,2,Implantation,1.50E+16,1.06E+17,6.14E+17,3.00E+17,6.00E+17,31606.805,0.01,103.492,903,156
NOLSM6238,19-02-2019 ?? 9:04:30,3,8,3,Implantation,8.64E+15,1.19E+17,4.65E+17,3.01E+17,6.00E+17,31189.123,0.01,104.163,909,153
NOLSM6339,19-02-2019 ?? 9:04:30,3,9,2,Implantation,1.39E+16,7.18E+16,8.51E+17,3.01E+17,6.00E+17,31897.149,0.01,102.736,878,154
NOLSM64310,19-02-2019 ?? 9:04:30,3,10,1,Implantation,8.87E+15,1.60E+17,5.29E+17,3.00E+17,6.00E+17,31251.878,0.01,101.442,878,157
NOLSM65311,19-02-2019 ?? 9:04:30,3,11,1,Implantation,1.14E+16,1.35E+17,8.02E+17,3.01E+17,6.00E+17,30703.029,0.01,101.03,899,153
NOLSM66312,19-02-2019 ?? 9:04:30,3,12,2,Implantation,1.31E+16,6.11E+16,1.08E+18,3.03E+17,6.00E+17,30325.348,0.01,103.937,912,157
NOLSM67313,19-02-2019 ?? 9:04:30,3,13,3,Implantation,8.40E+15,5.27E+16,8.01E+17,3.00E+17,6.00E+17,32066.425,0.01,99.938,925,154
NOLSM68314,19-02-2019 ?? 9:04:30,3,14,3,Implantation,1.21E+16,1.42E+17,5.14E+17,3.03E+17,6.00E+17,31988.811,0.01,98.542,881,155
NOLSM69315,19-02-2019 ?? 9:04:30,3,15,1,Implantation,1.11E+16,8.26E+16,1.18E+18,2.99E+17,6.00E+17,29985.962,0.01,103.541,877,154
NOLSM70316,19-02-2019 ?? 9:04:30,3,16,1,Implantation,8.91E+15,8.34E+16,6.88E+17,2.99E+17,6.00E+17,31431.504,0.01,103.893,893,155
NOLSM71317,19-02-2019 ?? 9:04:30,3,17,2,Implantation,9.85E+15,1.23E+17,3.05E+17,3.00E+17,6.00E+17,32189.734,0.01,101.709,878,155
NOLSM72318,19-02-2019 ?? 9:04:30,3,18,3,Implantation,9.18E+15,1.28E+17,1.93E+17,3.00E+17,6.00E+17,31178.487,0.01,103.251,911,154
NOLSM73319,19-02-2019 ?? 9:04:30,3,19,3,Implantation,1.41E+16,1.26E+17,8.18E+17,3.01E+17,6.00E+17,31633.206,0.01,100.664,899,153
NOLSM74320,19-02-2019 ?? 9:04:30,3,20,1,Implantation,9.76E+15,5.80E+16,7.55E+17,3.00E+17,6.00E+17,31321.795,0.01,102.6,901,157
NOLSM75321,19-02-2019 ?? 9:04:30,3,21,1,Implantation,1.18E+16,1.52E+17,8.65E+17,3.01E+17,6.00E+17,31818.941,0.01,100.949,865,150
NOLSM76322,19-02-2019 ?? 9:04:30,3,22,3,Implantation,1.02E+16,7.55E+16,3.73E+17,3.01E+17,6.00E+17,32229.52,0.01,103.453,904,158
NOLSM77323,19-02-2019 ?? 9:04:30,3,23,3,Implantation,1.42E+16,9.19E+16,9.93E+17,3.01E+17,6.00E+17,31476.989,0.01,102.519,891,153
NOLSM78324,19-02-2019 ?? 9:04:30,3,24,2,Implantation,1.14E+16,1.48E+17,3.09E+17,3.02E+17,6.00E+17,31177.831,0.01,102.643,897,154
NOLSM79325,19-02-2019 ?? 9:04:30,3,25,1,Implantation,1.06E+16,8.87E+16,6.52E+16,2.99E+17,6.00E+17,32328.112,0.01,101.726,868,153
NOLSM80326,19-02-2019 ?? 9:04:30,3,26,1,Implantation,1.68E+16,1.61E+17,7.00E+17,3.00E+17,6.00E+17,31463.004,0.01,104.676,909,154
NOLSM81327,19-02-2019 ?? 9:04:30,3,27,2,Implantation,7.09E+15,1.19E+17,2.57E+17,2.99E+17,6.00E+17,33158.675,0.01,104.022,917,149
NOLSM8241,20-02-2019 ?? 9:04:30,4,1,3,Implantation,6.78E+15,9.95E+16,7.23E+17,3.01E+17,6.00E+17,32300.805,0.01,104.134,888,154
NOLSM8342,20-02-2019 ?? 9:04:30,4,2,3,Implantation,1.05E+16,1.09E+17,4.54E+17,2.99E+17,6.00E+17,33029.239,0.01,103.788,873,154
NOLSM8443,20-02-2019 ?? 9:04:30,4,3,2,Implantation,6.88E+15,1.21E+17,7.21E+17,3.00E+17,6.00E+17,31635.027,0.01,104.716,914,155
NOLSM8544,20-02-2019 ?? 9:04:30,4,4,1,Implantation,3.94E+15,7.71E+16,5.76E+17,3.02E+17,6.00E+17,33163.807,0.01,102.964,905,154
NOLSM8645,20-02-2019 ?? 9:04:30,4,5,1,Implantation,1.18E+16,1.07E+17,7.45E+17,3.02E+17,6.00E+17,31931.086,0.01,103.914,884,156
NOLSM8746,20-02-2019 ?? 9:04:30,4,6,2,Implantation,1.06E+16,4.98E+16,4.15E+17,3.02E+17,6.00E+17,30826.011,0.01,103.975,903,154
NOLSM8847,20-02-2019 ?? 9:04:30,4,7,3,Implantation,1.10E+16,9.53E+16,4.36E+17,2.99E+17,6.00E+17,30499.847,0.01,99.312,898,153
NOLSM8948,20-02-2019 ?? 9:04:30,4,8,2,Implantation,1.47E+16,1.43E+17,7.34E+17,3.02E+17,6.00E+17,30703.662,0.01,101.088,880,155
NOLSM9049,20-02-2019 ?? 9:04:30,4,9,1,Implantation,2.11E+16,1.20E+17,1.18E+18,3.04E+17,6.00E+17,32324.756,0.01,103.759,872,153
NOLSM91410,20-02-2019 ?? 9:04:30,4,10,1,Implantation,1.35E+16,1.13E+17,6.37E+17,3.00E+17,6.00E+17,31924.552,0.01,104.32,902,155
NOLSM92411,20-02-2019 ?? 9:04:30,4,11,2,Implantation,1.03E+16,9.43E+16,3.09E+17,2.99E+17,6.00E+17,31500.526,0.01,101.507,888,154
NOLSM93412,20-02-2019 ?? 9:04:30,4,12,3,Implantation,1.69E+16,2.38E+16,9.24E+17,3.02E+17,6.00E+17,32179.174,0.01,103.426,890,158
NOLSM94413,20-02-2019 ?? 9:04:30,4,13,3,Implantation,9.47E+15,1.05E+17,5.93E+17,3.00E+17,6.00E+17,30475.756,0.01,103.195,912,154
NOLSM95414,20-02-2019 ?? 9:04:30,4,14,2,Implantation,9.25E+15,1.27E+17,4.65E+17,2.99E+17,6.00E+17,31478.739,0.01,100.492,899,153
NOLSM96415,20-02-2019 ?? 9:04:30,4,15,1,Implantation,1.58E+16,1.39E+17,1.06E+18,3.01E+17,6.00E+17,32446.139,0.01,100.612,885,154
NOLSM97416,20-02-2019 ?? 9:04:30,4,16,1,Implantation,1.26E+16,1.16E+17,6.68E+17,3.01E+17,6.00E+17,32346.097,0.01,103.385,908,156
NOLSM98417,20-02-2019 ?? 9:04:30,4,17,3,Implantation,9.16E+15,1.49E+17,8.97E+17,2.98E+17,6.00E+17,31900.559,0.01,102.263,861,153
NOLSM99418,20-02-2019 ?? 9:04:30,4,18,3,Implantation,1.71E+16,1.23E+17,5.05E+17,2.99E+17,6.00E+17,32068.136,0.01,104.884,916,154
NOLSM100419,20-02-2019 ?? 9:04:30,4,19,2,Implantation,1.58E+16,1.02E+17,1.20E+18,3.03E+17,6.00E+17,31575.591,0.01,101.321,916,149
NOLSM101420,20-02-2019 ?? 9:04:30,4,20,1,Implantation,1.88E+16,1.91E+17,6.98E+17,3.02E+17,6.00E+17,32022.906,0.01,104.284,907,155
NOLSM102421,20-02-2019 ?? 9:04:30,4,21,1,Implantation,1.06E+16,1.33E+17,7.14E+17,3.01E+17,6.00E+17,30933.42,0.01,101.024,898,155
NOLSM103422,20-02-2019 ?? 9:04:30,4,22,2,Implantation,9.57E+15,1.21E+17,5.31E+17,3.01E+17,6.00E+17,31425.431,0.01,101.158,877,155
NOLSM104423,20-02-2019 ?? 9:04:30,4,23,3,Implantation,1.68E+16,1.26E+17,3.54E+17,3.01E+17,6.00E+17,32261.627,0.01,102.808,898,155
NOLSM105424,20-02-2019 ?? 9:04:30,4,24,2,Implantation,1.75E+16,1.73E+17,7.73E+17,3.01E+17,6.00E+17,32507.325,0.01,102.652,889,159
NOLSM106425,20-02-2019 ?? 9:04:30,4,25,1,Implantation,7.30E+15,5.36E+16,5.48E+17,3.01E+17,6.00E+17,31857.972,0.01,103.834,916,153
NOLSM107426,20-02-2019 ?? 9:04:30,4,26,1,Implantation,7.65E+15,1.34E+17,9.58E+17,3.00E+17,6.00E+17,30998.017,0.01,103.704,905,155
NOLSM108427,20-02-2019 ?? 9:04:30,4,27,2,Implantation,7.70E+15,1.17E+17,9.96E+17,3.00E+17,6.00E+17,31665.596,0.01,102.212,916,155
NOLSM10951,21-02-2019 ?? 9:04:30,5,1,3,Implantation,8.47E+15,8.05E+16,3.84E+17,2.98E+17,6.00E+17,32034.605,0.01,104.846,896,158
NOLSM11052,21-02-2019 ?? 9:04:30,5,2,2,Implantation,1.65E+16,1.04E+17,6.93E+17,3.01E+17,6.00E+17,32403.77,0.01,105.045,912,154
NOLSM11153,21-02-2019 ?? 9:04:30,5,3,1,Implantation,1.13E+16,7.23E+16,7.26E+17,3.00E+17,6.00E+17,31560.731,0.01,105.841,875,154
NOLSM11254,21-02-2019 ?? 9:04:30,5,4,1,Implantation,1.99E+16,9.90E+16,7.62E+17,3.02E+17,6.00E+17,29604.262,0.01,104.261,916,153
NOLSM11355,21-02-2019 ?? 9:04:30,5,5,2,Implantation,1.33E+16,1.36E+17,1.09E+17,3.00E+17,6.00E+17,31732.122,0.01,103.62,880,156
NOLSM11456,21-02-2019 ?? 9:04:30,5,6,3,Implantation,1.24E+16,1.89E+16,2.82E+17,3.01E+17,6.00E+17,31858.818,0.01,102.678,893,150
NOLSM11557,21-02-2019 ?? 9:04:30,5,7,3,Implantation,8.74E+15,1.33E+16,3.10E+17,3.00E+17,6.00E+17,32187.195,0.01,102.447,914,153
NOLSM11658,21-02-2019 ?? 9:04:30,5,8,2,Implantation,1.28E+16,6.20E+16,6.87E+17,3.02E+17,6.00E+17,30856.694,0.01,103.236,877,156
NOLSM11759,21-02-2019 ?? 9:04:30,5,9,1,Implantation,9.60E+15,3.85E+16,4.08E+17,2.98E+17,6.00E+17,32042.018,0.01,103.967,917,154
NOLSM118510,21-02-2019 ?? 9:04:30,5,10,1,Implantation,1.38E+16,8.86E+16,7.73E+17,3.01E+17,6.00E+17,31289.639,0.01,102.991,912,154
NOLSM119511,21-02-2019 ?? 9:04:30,5,11,2,Implantation,1.30E+16,3.71E+16,1.00E+18,3.01E+17,6.00E+17,32524.693,0.01,101.322,903,154
NOLSM120512,21-02-2019 ?? 9:04:30,5,12,3,Implantation,1.28E+16,6.14E+16,6.90E+17,2.99E+17,6.00E+17,32057.54,0.01,101.394,910,162
NOLSM121513,21-02-2019 ?? 9:04:30,5,13,3,Implantation,6.99E+15,1.25E+17,2.20E+17,3.03E+17,6.00E+17,32900.689,0.01,103.55,913,156
NOLSM122514,21-02-2019 ?? 9:04:30,5,14,2,Implantation,1.26E+16,7.82E+16,1.23E+17,3.01E+17,6.00E+17,31640.442,0.01,105.17,918,153
NOLSM123515,21-02-2019 ?? 9:04:30,5,15,1,Implantation,3.99E+15,1.20E+17,1.21E+17,2.99E+17,6.00E+17,31856.772,0.01,102.377,883,156
NOLSM124516,21-02-2019 ?? 9:04:30,5,16,1,Implantation,1.97E+15,1.16E+17,8.71E+17,2.99E+17,6.00E+17,32050.437,0.01,101.995,894,155
NOLSM125517,21-02-2019 ?? 9:04:30,5,17,2,Implantation,1.63E+16,2.13E+17,4.60E+17,3.02E+17,6.00E+17,31710.986,0.01,105.264,930,152
NOLSM126518,21-02-2019 ?? 9:04:30,5,18,3,Implantation,1.17E+16,5.35E+16,8.55E+17,3.01E+17,6.00E+17,31155.426,0.01,104.162,888,153
NOLSM127519,21-02-2019 ?? 9:04:30,5,19,3,Implantation,4.15E+15,8.83E+16,8.99E+17,3.00E+17,6.00E+17,31707.301,0.01,104.286,903,153
NOLSM128520,21-02-2019 ?? 9:04:30,5,20,2,Implantation,6.97E+15,1.18E+17,7.58E+17,3.00E+17,6.00E+17,31921.289,0.01,103.014,889,156
NOLSM129521,21-02-2019 ?? 9:04:30,5,21,1,Implantation,1.10E+16,1.50E+17,1.82E+17,3.00E+17,6.00E+17,31234.441,0.01,103.453,883,153
NOLSM130522,21-02-2019 ?? 9:04:30,5,22,1,Implantation,1.29E+16,5.57E+16,7.69E+17,3.00E+17,6.00E+17,30801.679,0.01,104.564,932,157
NOLSM131523,21-02-2019 ?? 9:04:30,5,23,2,Implantation,1.33E+16,8.73E+16,8.71E+17,3.01E+17,6.00E+17,33283.059,0.01,100.908,896,154
NOLSM132524,21-02-2019 ?? 9:04:30,5,24,3,Implantation,1.52E+16,9.85E+16,7.52E+17,2.99E+17,6.00E+17,31856.143,0.01,102.064,914,153
NOLSM133525,21-02-2019 ?? 9:04:30,5,25,3,Implantation,7.86E+15,6.50E+16,5.64E+17,3.01E+17,6.00E+17,31565.934,0.01,104.243,904,158
NOLSM134526,21-02-2019 ?? 9:04:30,5,26,2,Implantation,1.07E+16,9.39E+16,2.81E+17,3.00E+17,6.00E+17,32131.098,0.01,105.338,879,155
NOLSM135527,21-02-2019 ?? 9:04:30,5,27,1,Implantation,1.21E+16,9.47E+16,4.77E+17,3.00E+17,6.00E+17,32248.673,0.01,100.598,921,156
NOLSM13661,22-02-2019 ?? 9:04:30,6,1,1,Implantation,8.06E+15,1.28E+17,1.71E+17,3.02E+17,6.00E+17,31194.915,0.01,101.786,885,152
NOLSM13762,22-02-2019 ?? 9:04:30,6,2,2,Implantation,1.65E+16,7.79E+16,1.03E+18,3.01E+17,6.00E+17,31469.225,0.01,105.08,913,154
NOLSM13863,22-02-2019 ?? 9:04:30,6,3,3,Implantation,1.00E+16,1.48E+17,7.89E+17,2.98E+17,6.00E+17,32246.843,0.01,104.774,907,154
NOLSM13964,22-02-2019 ?? 9:04:30,6,4,3,Implantation,1.15E+16,8.37E+16,5.17E+17,2.98E+17,6.00E+17,31801.588,0.01,103.624,866,153
NOLSM14065,22-02-2019 ?? 9:04:30,6,5,2,Implantation,7.36E+15,9.35E+16,6.66E+17,3.02E+17,6.00E+17,32290.539,0.01,104.739,907,161
NOLSM14166,22-02-2019 ?? 9:04:30,6,6,1,Implantation,5.58E+15,8.80E+16,3.94E+17,2.99E+17,6.00E+17,32537.016,0.01,102.829,899,156
NOLSM14267,22-02-2019 ?? 9:04:30,6,7,1,Implantation,1.17E+16,1.05E+17,2.54E+17,2.99E+17,6.00E+17,30799.8,0.01,103.001,882,152
NOLSM14368,22-02-2019 ?? 9:04:30,6,8,2,Implantation,1.14E+16,1.22E+17,4.95E+17,2.99E+17,6.00E+17,30537.234,0.01,104.583,880,159
NOLSM14469,22-02-2019 ?? 9:04:30,6,9,3,Implantation,7.62E+15,1.17E+17,9.12E+17,2.98E+17,6.00E+17,33254.92,0.01,104.377,909,156
NOLSM145610,22-02-2019 ?? 9:04:30,6,10,3,Implantation,1.51E+16,8.70E+16,8.44E+17,3.02E+17,6.00E+17,32529.301,0.01,103.397,920,150
NOLSM146611,22-02-2019 ?? 9:04:30,6,11,2,Implantation,1.08E+16,1.26E+17,3.85E+17,3.01E+17,6.00E+17,31724.033,0.01,103.021,913,159
NOLSM147612,22-02-2019 ?? 9:04:30,6,12,1,Implantation,1.18E+16,6.74E+16,7.60E+17,3.00E+17,6.00E+17,32188.034,0.01,102.492,892,148
NOLSM148613,22-02-2019 ?? 9:04:30,6,13,1,Implantation,1.53E+16,1.38E+17,5.63E+17,3.00E+17,6.00E+17,32481.944,0.01,103.514,879,154
NOLSM149614,22-02-2019 ?? 9:04:30,6,14,2,Implantation,1.14E+16,1.45E+17,4.62E+17,3.01E+17,6.00E+17,32373.18,0.01,100.696,921,152
NOLSM150615,22-02-2019 ?? 9:04:30,6,15,3,Implantation,1.27E+16,1.48E+17,3.75E+17,2.99E+17,6.00E+17,31400.424,0.01,100.826,882,155
NOLSM151616,22-02-2019 ?? 9:04:30,6,16,3,Implantation,1.52E+16,1.76E+17,5.12E+17,3.02E+17,6.00E+17,30763.793,0.01,99.639,895,156
NOLSM152617,22-02-2019 ?? 9:04:30,6,17,2,Implantation,1.73E+16,8.09E+16,5.51E+17,2.99E+17,6.00E+17,32021.918,0.01,102.771,909,153
NOLSM153618,22-02-2019 ?? 9:04:30,6,18,1,Implantation,1.18E+16,1.88E+17,1.02E+18,3.02E+17,6.00E+17,30633.38,0.01,104.584,905,154
NOLSM154619,22-02-2019 ?? 9:04:30,6,19,1,Implantation,1.04E+16,7.74E+16,9.51E+16,3.01E+17,6.00E+17,30605.867,0.01,102.588,886,156
NOLSM155620,22-02-2019 ?? 9:04:30,6,20,2,Implantation,1.23E+16,7.14E+16,3.83E+17,2.99E+17,6.00E+17,32150.501,0.01,102.687,898,154
NOLSM156621,22-02-2019 ?? 9:04:30,6,21,3,Implantation,1.29E+16,1.37E+17,3.09E+17,2.99E+17,6.00E+17,33009.054,0.01,101.899,915,154
