No_Die,Datetime,Lot_Num,Wafer_Num,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake
NOLSM20120,17-02-2019 ?? 9:04:30,1,20,1,Photo,2.10876,15.243,14.939,20.002,202.168,90.001,500.85,4056.014,4959.075,5.063,90.706,30.012
NOLSM21121,17-02-2019 ?? 9:04:30,1,21,2,Photo,1.00451,16.26,14.995,19.999,200.039,90,503.25,4029.12,4990.186,4.937,90.313,30.005
NOLSM22122,17-02-2019 ?? 9:04:30,1,22,2,Photo,1.48013,14.621,15.052,19.999,202.913,90,498.172,3971.194,5038.728,5.017,91.22,29.982
NOLSM23123,17-02-2019 ?? 9:04:30,1,23,2,Photo,1.33905,16.852,15.041,20.003,197.898,90.001,499.885,4035.394,5098.559,4.993,90.621,30.004
NOLSM24124,17-02-2019 ?? 9:04:30,1,24,3,Photo,1.12362,17.92,14.929,20,200.741,90.001,501.31,3952.67,5052.23,5.035,90.441,30.004
NOLSM25125,17-02-2019 ?? 9:04:30,1,25,3,Photo,1.62494,20.149,14.995,19.994,200.56,90.001,500.285,3972.34,5047.799,5.008,91.096,29.994
NOLSM26126,17-02-2019 ?? 9:04:30,1,26,3,Photo,1.18246,17.655,15.036,20.005,198.828,90,504.606,4017.144,5018.69,4.909,90.377,30.013
NOLSM27127,17-02-2019 ?? 9:04:30,1,27,1,Photo,1.22609,19.821,14.96,19.998,198.925,90.001,503.84,4072.913,5016.378,5.104,88.887,29.992
NOLSM2821,18-02-2019 ?? 9:04:30,2,1,1,Photo,1.81419,16.921,15.102,19.995,198.225,90,503.181,4084.939,4933.829,5.061,90.515,30.011
NOLSM2922,18-02-2019 ?? 9:04:30,2,2,1,Photo,1.89693,13.908,14.999,19.995,199.62,89.999,493.831,4045.078,5009.51,4.92,89.336,29.991
NOLSM3023,18-02-2019 ?? 9:04:30,2,3,2,Photo,1.21682,14.435,15.059,20,199.343,90,504.01,4010.176,5055.398,5.096,92.718,30.011
NOLSM3124,18-02-2019 ?? 9:04:30,2,4,2,Photo,0.08372,13.612,14.976,19.998,200.716,90,499.668,4080.116,5004.189,4.934,92.045,30.004
NOLSM3225,18-02-2019 ?? 9:04:30,2,5,3,Photo,1.00456,14.795,15.077,20.005,197.232,89.999,499.414,4039.539,5118.878,5.062,91.009,30.002
NOLSM3326,18-02-2019 ?? 9:04:30,2,6,3,Photo,1.59129,17.679,15.047,19.998,195.711,90.001,498.501,4104.008,4976.329,5.118,90.552,29.995
NOLSM3427,18-02-2019 ?? 9:04:30,2,7,1,Photo,1.15523,18.779,14.938,19.997,205.521,90.001,495.38,4036.214,5079.015,5.004,94.494,30.014
NOLSM3528,18-02-2019 ?? 9:04:30,2,8,1,Photo,1.33389,17.805,15.024,19.998,193.229,90.001,495.848,4082.9,5024.711,4.881,92.963,30.009
NOLSM3629,18-02-2019 ?? 9:04:30,2,9,1,Photo,0.82029,13.068,14.989,20,200.843,90.001,499.291,4003,4996.567,5.066,92.554,30.007
NOLSM37210,18-02-2019 ?? 9:04:30,2,10,2,Photo,1.20012,17.634,14.914,19.998,197.875,90,505.532,4067.864,5103.516,4.946,94.745,30
NOLSM38211,18-02-2019 ?? 9:04:30,2,11,2,Photo,1.37639,15.585,14.848,20.001,204.07,90.001,503.348,4024.495,5011.014,4.938,89.548,30
NOLSM39212,18-02-2019 ?? 9:04:30,2,12,2,Photo,1.88889,19.247,14.934,19.994,201.964,90,500.256,4021.57,5107.302,4.986,92.897,29.999
NOLSM40213,18-02-2019 ?? 9:04:30,2,13,3,Photo,1.43766,15.3,15.023,20.001,200.642,89.999,503.656,4030.974,5017.72,5.07,90.439,30.006
NOLSM41214,18-02-2019 ?? 9:04:30,2,14,3,Photo,1.57824,14.855,15.019,20.003,198.568,90.001,506.09,4016.14,4899.117,4.999,93.896,29.996
NOLSM42215,18-02-2019 ?? 9:04:30,2,15,3,Photo,1.11559,15.425,14.776,20,196.989,90,500.146,3995.851,5040.55,4.989,92.294,30.003
NOLSM43216,18-02-2019 ?? 9:04:30,2,16,1,Photo,1.61413,15.302,15.033,20.001,201.671,90,503.13,4068.598,5097.52,5.04,93.479,29.995
NOLSM44217,18-02-2019 ?? 9:04:30,2,17,1,Photo,1.32311,19.33,14.895,19.999,200.472,90,501.31,4032.002,5025.811,4.856,92.399,29.999
NOLSM45218,18-02-2019 ?? 9:04:30,2,18,1,Photo,1.08216,14.202,15.039,20.003,195.62,90.001,502.024,4061.169,4970.858,4.994,91.181,30.004
NOLSM46219,18-02-2019 ?? 9:04:30,2,19,2,Photo,1.53915,15.979,14.981,20.001,204.061,89.999,504.875,4055.237,5070.02,5.038,93.341,29.993
NOLSM47220,18-02-2019 ?? 9:04:30,2,20,2,Photo,1.85115,15.467,15.167,19.999,201.84,89.999,500.488,4080.602,4922.31,5.002,92.275,30.002
NOLSM48221,18-02-2019 ?? 9:04:30,2,21,2,Photo,1.49594,16.292,14.955,20.003,203.373,90,502.747,3892.298,5020.408,4.925,92.602,30.002
NOLSM49222,18-02-2019 ?? 9:04:30,2,22,3,Photo,1.17906,15.389,14.924,20.003,199.778,89.999,497.443,4003.755,4987.505,5.052,90.014,30.004
NOLSM50223,18-02-2019 ?? 9:04:30,2,23,3,Photo,0.99842,15.637,15.084,19.999,203.21,89.999,495.55,4108.316,5063.6,5.045,91.947,29.998
NOLSM51224,18-02-2019 ?? 9:04:30,2,24,3,Photo,0.83508,15.27,15.1,19.999,197.994,90,502.14,3948.707,4974.792,5.05,91.942,29.994
NOLSM52225,18-02-2019 ?? 9:04:30,2,25,1,Photo,0.76893,15.085,14.983,20.003,200.863,90.002,503.209,3957.686,5089.309,4.91,94.751,29.996
NOLSM53226,18-02-2019 ?? 9:04:30,2,26,1,Photo,1.37351,17.717,15.013,19.99,201.966,90,500.521,4004.511,4966.455,4.988,91.712,29.997
NOLSM54227,18-02-2019 ?? 9:04:30,2,27,1,Photo,1.26007,19.372,14.947,19.997,198.005,90.001,504.722,3886.323,4933.834,4.946,92.482,30.004
NOLSM5531,19-02-2019 ?? 9:04:30,3,1,2,Photo,0.7861,13.842,14.953,20.003,199.98,90,505.516,3954.921,4941.1,4.98,93.185,30.003
NOLSM5632,19-02-2019 ?? 9:04:30,3,2,2,Photo,1.71393,17.833,14.807,19.999,198.395,90.001,497.685,3924.908,5026.764,5.063,90.982,30.014
NOLSM5733,19-02-2019 ?? 9:04:30,3,3,2,Photo,1.52526,16.232,15.09,19.999,201.909,90.001,496.208,4037.761,4976.391,5.011,91.422,29.997
NOLSM5834,19-02-2019 ?? 9:04:30,3,4,3,Photo,1.92903,13.442,15.049,20.003,198.351,90,499.431,3961.091,4920.271,4.973,91.031,30
NOLSM5935,19-02-2019 ?? 9:04:30,3,5,3,Photo,0.65542,12.891,14.913,19.998,199.5,90,505.257,4033.208,5053.188,4.962,92.134,29.994
NOLSM6036,19-02-2019 ?? 9:04:30,3,6,1,Photo,1.05533,18.777,14.959,20.002,205.983,89.999,500.75,4116.904,5072.106,5.112,92.043,30.003
NOLSM6137,19-02-2019 ?? 9:04:30,3,7,1,Photo,0.61786,14.91,15.116,20.007,200.051,89.999,501.183,4040.747,5003.556,4.965,91.804,30.004
NOLSM6238,19-02-2019 ?? 9:04:30,3,8,1,Photo,1.11808,15.465,15.091,20.001,198.72,90,502.662,4043.013,4961.961,4.981,91.097,30
NOLSM6339,19-02-2019 ?? 9:04:30,3,9,2,Photo,1.2529,15.725,15.281,19.996,200.449,89.999,500.371,4077.17,5073,4.929,91.772,29.994
NOLSM64310,19-02-2019 ?? 9:04:30,3,10,2,Photo,1.93117,15.632,14.885,19.994,202.281,90.001,500.916,4075.85,4960.128,5.013,91.215,29.993
NOLSM65311,19-02-2019 ?? 9:04:30,3,11,3,Photo,1.21065,13.804,14.921,19.996,201.434,89.999,498.175,4145.335,4928.601,5.031,93.44,29.999
NOLSM66312,19-02-2019 ?? 9:04:30,3,12,3,Photo,0.45513,15.4,14.906,19.997,196.285,90,503.776,3977.193,5124.585,5.091,93.508,29.989
NOLSM67313,19-02-2019 ?? 9:04:30,3,13,3,Photo,1.54874,12.904,15.059,20.003,198.863,90,502.726,3999.227,5071.578,5.02,93.226,30.01
NOLSM68314,19-02-2019 ?? 9:04:30,3,14,1,Photo,0.74391,15.582,15.016,19.997,201.257,90,505.462,3953.658,4915.382,5.093,95.561,30.013
NOLSM69315,19-02-2019 ?? 9:04:30,3,15,1,Photo,0.93069,12.78,15.05,19.999,209.521,90.001,503.288,4023.476,4945.685,5.008,92.89,30.007
NOLSM70316,19-02-2019 ?? 9:04:30,3,16,2,Photo,0.35232,19.284,14.954,19.991,198.731,90,499.857,4027.911,5027.592,4.865,92.973,30.008
NOLSM71317,19-02-2019 ?? 9:04:30,3,17,2,Photo,0.91653,11.949,14.876,19.994,200.343,90,500.314,4118.195,5008,4.981,92.093,30.002
NOLSM72318,19-02-2019 ?? 9:04:30,3,18,2,Photo,1.85229,15.648,14.872,20.003,201.432,90.001,497.273,4033.358,5054.176,4.964,91.561,30.01
NOLSM73319,19-02-2019 ?? 9:04:30,3,19,3,Photo,0.91653,15.602,14.847,20.003,198.228,90,499.729,3998.697,5129.785,5.02,91.76,30.011
NOLSM74320,19-02-2019 ?? 9:04:30,3,20,3,Photo,1.56522,14.613,15.067,19.999,197.041,89.999,497.181,3976.988,5061.703,5.017,89.895,29.997
NOLSM75321,19-02-2019 ?? 9:04:30,3,21,1,Photo,0.87967,16.195,15.135,20.002,198.842,90,502.391,4098.889,4984.01,5.059,89.606,29.997
NOLSM76322,19-02-2019 ?? 9:04:30,3,22,1,Photo,1.69622,12.336,15.124,19.999,203.693,90.001,495.313,4021.077,4975.578,5.143,92.11,30.004
NOLSM77323,19-02-2019 ?? 9:04:30,3,23,2,Photo,0.32877,13.594,15.12,19.995,200.312,90.002,500.671,3979.832,4956.736,4.997,91.121,29.998
NOLSM78324,19-02-2019 ?? 9:04:30,3,24,2,Photo,1.82073,16.542,15.053,19.991,198.111,90.001,498.685,3987.278,4999.875,4.912,90.93,30.006
NOLSM79325,19-02-2019 ?? 9:04:30,3,25,2,Photo,1.63215,15.027,15.015,19.999,203.144,90,502.366,4108.68,5013.613,5.14,89.345,29.999
NOLSM80326,19-02-2019 ?? 9:04:30,3,26,3,Photo,1.97588,18.414,14.97,19.999,201.722,90,501.242,4031.762,5023.778,5.045,91.744,30.001
NOLSM81327,19-02-2019 ?? 9:04:30,3,27,3,Photo,1.07972,15.075,15.008,19.994,200.676,90,497.462,3913.943,4939.326,5.034,91.56,29.994
NOLSM8241,20-02-2019 ?? 9:04:30,4,1,3,Photo,0.69447,15.502,14.893,20.001,195.138,90.001,500.413,4046.579,4869.066,5.049,93.689,29.997
NOLSM8342,20-02-2019 ?? 9:04:30,4,2,1,Photo,1.59324,15.465,14.915,20.002,201.026,90,500.148,4136.72,5019,5.008,92.986,30.012
NOLSM8443,20-02-2019 ?? 9:04:30,4,3,1,Photo,0.85146,16.454,14.998,20.004,201.539,90,500.669,4083.354,4977.04,4.99,92.681,30.014
NOLSM8544,20-02-2019 ?? 9:04:30,4,4,1,Photo,1.08688,15.252,15.127,19.999,197.82,90,497.377,3980.806,5002.594,5.022,92.926,30.005
NOLSM8645,20-02-2019 ?? 9:04:30,4,5,2,Photo,1.40374,15.583,14.976,19.993,202.082,90.001,502.697,4052.657,4994.874,4.942,91.783,29.996
NOLSM8746,20-02-2019 ?? 9:04:30,4,6,2,Photo,0.37621,15.093,15.116,19.997,193.096,90,500.109,4104.308,5050.626,4.937,93.257,30.007
NOLSM8847,20-02-2019 ?? 9:04:30,4,7,2,Photo,0.69938,16.544,14.976,20.002,195.162,90,495.129,4001.948,5009.968,5.041,89.432,30
NOLSM8948,20-02-2019 ?? 9:04:30,4,8,3,Photo,1.59225,18.276,14.928,20.003,201.99,90,503.628,3944.298,4956.409,4.993,91.804,29.996
NOLSM9049,20-02-2019 ?? 9:04:30,4,9,3,Photo,1.31378,14.747,15.003,19.996,196.985,90,503.099,4061.166,4931.613,5.179,92.234,30.006
NOLSM91410,20-02-2019 ?? 9:04:30,4,10,1,Photo,1.15596,16.144,14.954,19.997,195.803,90,504.119,4022.634,5101.341,5.132,89.756,30.003
NOLSM92411,20-02-2019 ?? 9:04:30,4,11,1,Photo,1.67849,14.764,15.196,20,199.601,90,503.177,4065.37,4999.136,5.119,94.657,29.996
NOLSM93412,20-02-2019 ?? 9:04:30,4,12,1,Photo,1.78345,16.716,14.958,19.991,197.509,90.001,500.365,4057.42,5067.641,5.047,91.811,30.005
NOLSM94413,20-02-2019 ?? 9:04:30,4,13,2,Photo,1.25348,15.288,15.04,19.994,202.281,90,499.337,4026.057,5041.291,4.863,90.859,29.999
NOLSM95414,20-02-2019 ?? 9:04:30,4,14,2,Photo,1.31988,16.749,14.894,20.002,202.312,90,505.182,4096.192,4932.401,4.941,91.743,29.996
NOLSM96415,20-02-2019 ?? 9:04:30,4,15,2,Photo,1.40215,13.759,15.036,19.99,203.616,90,499.055,4031.749,4946.118,4.993,93.026,30.012
NOLSM97416,20-02-2019 ?? 9:04:30,4,16,3,Photo,1.15753,15.035,15.196,20.002,198.02,90,500.577,4016.13,5071.191,5.014,90.066,30.01
NOLSM98417,20-02-2019 ?? 9:04:30,4,17,3,Photo,1.42035,13.455,14.799,20,202.098,90.001,500.395,4040.087,5026.831,4.983,92.533,30.001
NOLSM99418,20-02-2019 ?? 9:04:30,4,18,1,Photo,0.79936,15.751,14.906,20.003,199.508,90,497.893,4096.551,5047.814,5.058,94.438,30.01
NOLSM100419,20-02-2019 ?? 9:04:30,4,19,1,Photo,1.28498,13.394,15.181,20,194.798,90,496.399,4031.379,5026.456,5.101,92.813,30.001
NOLSM101420,20-02-2019 ?? 9:04:30,4,20,1,Photo,1.78377,17.708,15.055,20,197.427,90,499.117,3988.096,4927.405,5.035,93.802,30.008
NOLSM102421,20-02-2019 ?? 9:04:30,4,21,2,Photo,1.21178,13.298,15.13,19.995,202.189,90,501.382,3975.371,4917.206,4.979,90.63,29.997
NOLSM103422,20-02-2019 ?? 9:04:30,4,22,2,Photo,1.43097,18.056,14.958,20.001,199.058,90,496.427,4009.891,5190.079,4.868,92.222,29.996
NOLSM104423,20-02-2019 ?? 9:04:30,4,23,2,Photo,1.43993,12.997,15.085,19.994,205.939,90,499.867,4022.109,4960.439,4.933,92.242,30.011
NOLSM105424,20-02-2019 ?? 9:04:30,4,24,3,Photo,0.75558,15.469,15.181,19.997,194.411,90,497.347,4093.277,5044.471,4.922,92.307,30.001
NOLSM106425,20-02-2019 ?? 9:04:30,4,25,3,Photo,1.12382,15.226,14.986,20,197.806,90.001,497.615,4015.737,4900.137,5.02,94.282,29.99
NOLSM107426,20-02-2019 ?? 9:04:30,4,26,1,Photo,1.01686,16.107,15.021,19.995,205.928,90,503.624,4023.31,5034.715,4.995,90.466,30.002
NOLSM108427,20-02-2019 ?? 9:04:30,4,27,1,Photo,1.0636,18.554,14.882,19.995,203.542,90.001,494.204,3975.695,4989.248,5.019,93.629,29.997
NOLSM10951,21-02-2019 ?? 9:04:30,5,1,1,Photo,1.31556,18.3,15.1,19.997,201.257,90.001,499.686,3943.713,5026.31,5.028,90.872,29.995
NOLSM11052,21-02-2019 ?? 9:04:30,5,2,2,Photo,1.87115,13.098,15.025,20.001,198.825,89.999,504.969,4029.214,5015.85,5.039,92.275,29.998
NOLSM11153,21-02-2019 ?? 9:04:30,5,3,2,Photo,1.21277,14.994,15.001,20.007,197.121,89.998,496.889,3964.71,5077.469,5.033,91.338,29.993
NOLSM11254,21-02-2019 ?? 9:04:30,5,4,3,Photo,1.15164,15.261,14.931,20.001,200.823,89.999,499.503,3978.745,5119.234,5.072,90.277,30.005
NOLSM11355,21-02-2019 ?? 9:04:30,5,5,3,Photo,1.77366,16.651,15.044,20.001,196.001,90,502.551,4049.1,5022.182,4.973,93.44,30.001
NOLSM11456,21-02-2019 ?? 9:04:30,5,6,3,Photo,1.48367,13.638,15.021,20.005,198.211,90.001,503.268,4042.033,4947.659,4.968,93.614,30.001
NOLSM11557,21-02-2019 ?? 9:04:30,5,7,1,Photo,1.93673,15.127,14.979,19.996,198.999,90.001,501.653,4038.907,5011.734,4.961,93.29,30.003
NOLSM11658,21-02-2019 ?? 9:04:30,5,8,1,Photo,0.90966,16.414,15.106,19.993,201.92,89.998,499.417,3942.446,5021.166,4.967,93.298,30.002
NOLSM11759,21-02-2019 ?? 9:04:30,5,9,1,Photo,0.7098,11.936,15.004,19.997,202.265,89.999,505.718,4018.743,5027.501,4.959,91.902,30.005
NOLSM118510,21-02-2019 ?? 9:04:30,5,10,2,Photo,2.09636,21.373,15.057,20.001,197.708,90,502.85,4126.569,5006.296,4.997,90.552,29.999
NOLSM119511,21-02-2019 ?? 9:04:30,5,11,2,Photo,1.73176,15.277,15.01,19.996,204.744,89.999,498.878,4085.753,4983.395,4.988,92.566,29.999
NOLSM120512,21-02-2019 ?? 9:04:30,5,12,2,Photo,1.0965,15.312,15.07,19.999,205.209,89.999,502.975,4057.629,5098.876,5.1,91.778,30.001
NOLSM121513,21-02-2019 ?? 9:04:30,5,13,3,Photo,0.94524,13.894,15.116,19.999,199.499,90,505.046,4075.213,4973.462,4.98,92.347,29.992
NOLSM122514,21-02-2019 ?? 9:04:30,5,14,3,Photo,1.74314,16.37,15.025,20,195.352,90.001,499.926,4030.034,5083.912,4.907,90.966,29.999
NOLSM123515,21-02-2019 ?? 9:04:30,5,15,3,Photo,0.52966,17.277,14.828,20.002,200.66,89.999,501.827,4069.518,5048.748,4.927,94.668,29.996
NOLSM124516,21-02-2019 ?? 9:04:30,5,16,1,Photo,0.31926,16.67,15,19.994,199.982,90,501.745,3981.754,5045.605,4.951,92.262,29.986
NOLSM125517,21-02-2019 ?? 9:04:30,5,17,1,Photo,0.67018,14.098,14.961,19.997,198.47,90,504.804,4012.451,5045.011,5.013,90.449,29.999
NOLSM126518,21-02-2019 ?? 9:04:30,5,18,1,Photo,1.52111,14.436,14.957,20.009,199.456,90.001,500.564,4093.798,5014.006,5.072,93.591,29.99
NOLSM127519,21-02-2019 ?? 9:04:30,5,19,2,Photo,1.40998,12.82,15.092,20.001,201.983,90,505.076,4014.388,4827.04,4.925,92.35,29.995
NOLSM128520,21-02-2019 ?? 9:04:30,5,20,2,Photo,1.76524,17.163,14.785,19.995,197.55,90.001,501.623,3965.084,5068.244,5.012,89.841,29.999
NOLSM129521,21-02-2019 ?? 9:04:30,5,21,2,Photo,1.81581,12.729,14.934,20,196.622,89.998,498.289,4026.686,5014.44,5.066,90.887,30.001
NOLSM130522,21-02-2019 ?? 9:04:30,5,22,3,Photo,0.90783,14.748,15.08,19.999,195.123,90,500.915,4007.021,4980.246,5.094,93.99,29.997
NOLSM131523,21-02-2019 ?? 9:04:30,5,23,3,Photo,1.13067,14.611,14.992,19.994,200.795,90.001,504.609,3913.49,5001.761,4.973,91.432,30.003
NOLSM132524,21-02-2019 ?? 9:04:30,5,24,3,Photo,0.7548,15.808,14.88,19.997,198.772,90.001,503.122,3993.101,5074.118,5.033,90.716,30.003
NOLSM133525,21-02-2019 ?? 9:04:30,5,25,1,Photo,1.66756,14.678,14.881,19.998,205.609,90,499.85,4022.215,4918.574,5.01,91.008,30.014
NOLSM134526,21-02-2019 ?? 9:04:30,5,26,1,Photo,1.43301,16.811,14.97,19.993,200.925,90,500.47,3979.993,5070.442,4.975,91.317,29.998
NOLSM135527,21-02-2019 ?? 9:04:30,5,27,1,Photo,1.05957,14.953,14.917,20.009,202.427,89.999,504.675,3991.521,4936.656,5.058,92.819,29.984
NOLSM13661,22-02-2019 ?? 9:04:30,6,1,2,Photo,1.00107,14.669,15.039,20.001,202.053,90,505.264,4029.626,4993.451,4.996,93.5,29.99
NOLSM13762,22-02-2019 ?? 9:04:30,6,2,2,Photo,1.66489,15.622,15.109,19.996,200.051,90.001,499.285,4052.404,5020.19,5.076,89.904,30.001
NOLSM13863,22-02-2019 ?? 9:04:30,6,3,2,Photo,1.53778,15.101,15.018,20.002,197.983,90.001,500.665,3990.607,5003.956,5.112,91.107,29.994
NOLSM13964,22-02-2019 ?? 9:04:30,6,4,3,Photo,0.83265,18.162,14.932,19.994,199.705,90,499.886,3985.833,4964.32,5.034,91.392,30.002
NOLSM14065,22-02-2019 ?? 9:04:30,6,5,3,Photo,1.8678,15.117,14.91,19.995,194.623,89.999,497.909,3905.086,4980.191,5.072,92.644,29.999
NOLSM14166,22-02-2019 ?? 9:04:30,6,6,3,Photo,1.90408,11.603,15.085,19.997,201.795,90.001,497.376,4027.773,5083.95,5.065,92.04,29.997
NOLSM14267,22-02-2019 ?? 9:04:30,6,7,1,Photo,1.0001,15.045,14.96,19.998,200.519,90,500.17,4061.253,4899.577,5.026,91.453,29.997
NOLSM14368,22-02-2019 ?? 9:04:30,6,8,1,Photo,1.25767,17.886,14.974,19.995,201.975,89.999,499.999,3942.812,4932.54,5.035,89.861,29.994
NOLSM14469,22-02-2019 ?? 9:04:30,6,9,1,Photo,1.61262,15.707,15.108,19.99,202.236,90,502.462,4031.279,4989.038,4.927,92.614,29.982
NOLSM145610,22-02-2019 ?? 9:04:30,6,10,2,Photo,0.9269,17.451,14.974,19.997,199.461,89.999,496.968,3961.823,5075.76,5.031,91.965,30.009
NOLSM146611,22-02-2019 ?? 9:04:30,6,11,2,Photo,1.36145,14.664,15.029,20,203.443,90.001,496.803,3912.049,5047.235,5.033,91.325,30.004
NOLSM147612,22-02-2019 ?? 9:04:30,6,12,2,Photo,0.67036,14.286,14.956,19.999,197.721,90.001,504.888,3944.087,4956.801,4.987,91.335,29.997
NOLSM148613,22-02-2019 ?? 9:04:30,6,13,3,Photo,1.88646,14.89,15.106,20,202.812,90.002,497.049,4002.498,4939.562,5.04,93.239,29.996
NOLSM149614,22-02-2019 ?? 9:04:30,6,14,3,Photo,0.88798,16.342,15.128,19.996,198.429,89.998,500.323,3956.773,4926.143,5.005,92.335,30.008
NOLSM150615,22-02-2019 ?? 9:04:30,6,15,3,Photo,1.05713,14.749,15.006,19.995,197.594,90,502.379,4056.607,4941.828,5.014,92.137,29.999
NOLSM151616,22-02-2019 ?? 9:04:30,6,16,1,Photo,2.18147,16.917,15.059,19.999,198.925,90,500.038,4042.905,4982.143,5.008,91.859,30.007
NOLSM152617,22-02-2019 ?? 9:04:30,6,17,1,Photo,1.31503,15.842,14.788,20.009,201.192,90,500.848,3987.067,4970.261,5.014,92.849,30.007
NOLSM153618,22-02-2019 ?? 9:04:30,6,18,1,Photo,1.20536,13.988,14.904,20.003,201.11,90,501.052,3955.645,5001.707,4.984,90.514,30.005
NOLSM154619,22-02-2019 ?? 9:04:30,6,19,2,Photo,1.05396,13.134,15.074,20.005,204.58,90,497.968,3908.851,5139.623,5.067,91.647,30.002
NOLSM155620,22-02-2019 ?? 9:04:30,6,20,2,Photo,0.72173,15.068,14.99,20,198.61,90.001,500.868,4070.865,5050.582,5.084,92.47,29.995
NOLSM156621,22-02-2019 ?? 9:04:30,6,21,2,Photo,0.97604,12.965,14.99,19.997,201.173,89.999,497.32,4073.84,5081.391,4.928,89.766,30.005
NOLSM157622,22-02-2019 ?? 9:04:30,6,22,3,Photo,2.16264,15.755,15.005,20.003,199.005,90,498.841,4109.131,4954.072,5.035,90.765,30
NOLSM158623,22-02-2019 ?? 9:04:30,6,23,3,Photo,1.65988,13.311,14.958,20.001,201.381,90.001,497.008,4017.526,5046.224,5.043,93.139,29.99
NOLSM159624,22-02-2019 ?? 9:04:30,6,24,1,Photo,1.59416,13.606,15.079,20.003,202.401,90.001,501.854,4079.103,5011.243,5.052,91.971,29.993
NOLSM160625,22-02-2019 ?? 9:04:30,6,25,1,Photo,1.46398,17.619,15.13,19.997,195.089,90,498.59,4208.676,4859.641,5.047,90.932,30.016
NOLSM161626,22-02-2019 ?? 9:04:30,6,26,1,Photo,1.44505,16.3,15.06,19.997,201.484,89.999,498.456,4075.958,4919.492,4.96,90.563,30.006
NOLSM162627,22-02-2019 ?? 9:04:30,6,27,2,Photo,1.52833,14.706,15.061,19.991,203.223,90.001,498.723,3995.777,5012.291,5.077,92.931,29.999
