No_Die,Datetime,Lot_Num,Wafer_Num,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,lithography_Chamber,Line_CD,Lamp,UV_type,Wavelength,Resolution,Energy_Exposure,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Current,Temp_implantation,Furance_Temp,RTA_Temp,Target,Datetime,Error_message,Yield
NOLSM11111,17-02-2019 ?? 9:04:30,1,11,2,Oxidation,dry,1077.751749,O2,32.59,0.189,87,689.049,1,Photo,1.09607,18.638,15.012,20.001,201.924,90.002,500.257,4036.876,5087.298,4.975,92.318,29.988,3,54.613,Hg-Arc,G,405,525.22,107.543,3,Etching,223,1393,3667,5688,70.61,51.473,1.048,3,Implantation,1.74E+16,2.39E+16,9.60E+17,2.99E+17,6.00E+17,31691.366,0.01,105.291,891,156,72,02-18-2018,none,96.4
NOLSM12112,17-02-2019 ?? 9:04:30,1,12,2,Oxidation,dry,1113.712029,H2O,38.02,0.218,80,708.738,2,Photo,2.19916,12.013,14.981,20.001,200.521,90.001,501.499,4014.071,4947.437,5.024,93.669,30.001,1,31.272,Hg-Arc,G,436,488.636,111.101,3,Etching,562,1377,3664,5730,71.067,51.129,1.043,3,Implantation,1.37E+16,8.91E+16,7.44E+17,3.00E+17,6.00E+17,31201.151,0.01,105.485,906,153,215,02-18-2018,[['Loc']],89.25
NOLSM13113,17-02-2019 ?? 9:04:30,1,13,2,Oxidation,dry,1193.96599,O2,33.81,0.202,149,716.118,2,Photo,0.62819,15.182,15.034,19.994,199.034,90,501.61,3985.686,5137.647,5.013,91.66,30,2,23.663,Hg-Arc,H,436,478.444,107.19,2,Etching,416,1597,3655,5728,69.934,51.099,1.023,2,Implantation,1.38E+16,1.22E+17,7.80E+17,3.03E+17,6.00E+17,31655.39,0.01,104.646,898,151,89,02-18-2018,none,95.55
NOLSM14114,17-02-2019 ?? 9:04:30,1,14,2,Oxidation,dry,1098.177968,O2,29.05,0.216,149,703.595,2,Photo,1.01327,18.211,15.006,20.001,197.707,90,503.158,4047.541,4947.636,5.028,94.355,29.997,3,27.333,Hg-Arc,G,365,516.803,110.24,1,Etching,365,1484,3674,5733,72.593,50.252,1.024,1,Implantation,1.26E+16,1.11E+17,6.00E+17,3.03E+17,6.00E+17,30953.889,0.01,104.291,897,152,104,02-18-2018,none,94.8
NOLSM15115,17-02-2019 ?? 9:04:30,1,15,2,Oxidation,dry,1013.703486,O2,49.91,0.209,101,721.105,3,Photo,0.82107,15.836,14.925,19.993,194.126,90,501.085,3955.393,4983.697,5.032,92.48,30.003,1,16.467,Hg-Arc,H,405,529.182,109.976,1,Etching,556,1619,3633,5744,71.754,52.645,1.038,1,Implantation,7.25E+15,9.58E+16,2.29E+17,3.01E+17,6.00E+17,31211.391,0.01,102.585,899,151,116,02-18-2018,none,94.2
NOLSM16116,17-02-2019 ?? 9:04:30,1,16,2,Oxidation,wet,1102.425583,O2,32.47,0.203,112,703.686,3,Photo,2.17388,15.931,15.1,20.004,199.703,90,503.226,4062.804,4931.418,5.053,94.036,30.003,2,43.554,Hg-Arc,H,405,472.687,110.358,2,Etching,447,1490,3664,5732,71.441,51.015,1.027,2,Implantation,9.52E+15,4.84E+16,9.96E+17,2.99E+17,6.00E+17,31603.462,0.01,106.007,910,156,124,02-18-2018,none,93.8
NOLSM17117,17-02-2019 ?? 9:04:30,1,17,2,Oxidation,dry,1100.646875,O2,32.82,0.205,101,702.403,3,Photo,1.91871,13.723,14.879,19.998,198.575,90,499.06,4071.633,5053.274,5.102,93.318,29.996,3,41.893,Hg-Arc,I,365,561.777,107.42,3,Etching,248,1576,3662,5700,71.163,50.547,1.009,3,Implantation,1.29E+16,5.54E+16,5.80E+17,3.00E+17,6.00E+17,31197.908,0.01,103.454,910,155,71,02-18-2018,none,96.45
NOLSM18118,17-02-2019 ?? 9:04:30,1,18,3,Oxidation,dry,996.1626408,H2O,36.66,0.194,148,707.175,1,Photo,1.70572,13.934,14.899,20.001,198.429,90,501.252,3985.677,4979.438,4.925,90.195,30.007,1,30.437,Hg-Arc,I,365,523.658,108.685,3,Etching,417,1607,3633,5704,70.345,50.843,1.015,3,Implantation,8.41E+15,1.66E+17,9.85E+17,3.00E+17,6.00E+17,31359.595,0.01,103.046,894,156,83,02-18-2018,none,95.85
NOLSM19119,17-02-2019 ?? 9:04:30,1,19,3,Oxidation,wet,1017.293112,H2O,35.44,0.203,157,719.64,1,Photo,1.91149,13.286,15.074,19.991,202.801,90.001,499.644,3978.724,4940.786,5.052,91.503,30.008,2,61.431,Hg-Arc,H,365,514.519,106.424,2,Etching,227,1418,3668,5701,69.832,51.609,1.011,2,Implantation,1.30E+16,1.00E+17,7.40E+17,3.02E+17,6.00E+17,32409.504,0.01,106.244,899,154,95,02-18-2018,none,95.25
NOLSM20120,17-02-2019 ?? 9:04:30,1,20,3,Oxidation,dry,1037.438376,O2,36.74,0.205,147,709.838,1,Photo,2.10876,15.243,14.939,20.002,202.168,90.001,500.85,4056.014,4959.075,5.063,90.706,30.012,3,47.652,Hg-Arc,H,436,534.147,109.963,1,Etching,185,1630,3637,5728,71.606,51.027,1.024,1,Implantation,1.23E+16,9.30E+16,2.59E+17,3.03E+17,6.00E+17,32922.767,0.01,104.804,923,152,92,02-18-2018,none,95.4
NOLSM21121,17-02-2019 ?? 9:04:30,1,21,3,Oxidation,dry,1000.063674,O2,25.53,0.203,56,715.592,2,Photo,1.00451,16.26,14.995,19.999,200.039,90,503.25,4029.12,4990.186,4.937,90.313,30.005,1,28.492,Hg-Arc,I,436,499.558,109.557,1,Etching,660,1511,3679,5732,71.068,50.653,1.029,1,Implantation,1.42E+16,1.87E+16,2.19E+17,3.01E+17,6.00E+17,30786.77,0.01,101.334,920,154,255,02-18-2018,[['Edge-Loc']],87.25
NOLSM22122,17-02-2019 ?? 9:04:30,1,22,3,Oxidation,dry,1080.085993,O2,42.37,0.212,84,698.922,2,Photo,1.48013,14.621,15.052,19.999,202.913,90,498.172,3971.194,5038.728,5.017,91.22,29.982,2,38.292,Hg-Arc,G,436,537.389,107.999,2,Etching,394,1562,3663,5733,69.362,51.252,1.026,2,Implantation,9.74E+15,1.41E+17,3.60E+17,3.00E+17,6.00E+17,30857.277,0.01,101.933,897,154,99,02-18-2018,none,95.05
NOLSM23123,17-02-2019 ?? 9:04:30,1,23,3,Oxidation,dry,1068.506643,O2,31.47,0.212,117,708.278,2,Photo,1.33905,16.852,15.041,20.003,197.898,90.001,499.885,4035.394,5098.559,4.993,90.621,30.004,3,52.821,Hg-Arc,I,365,532.275,109.351,3,Etching,423,1526,3655,5688,72.506,50.769,1.044,3,Implantation,1.26E+16,3.11E+16,7.90E+17,3.02E+17,6.00E+17,32295.6,0.01,100.745,884,155,117,02-18-2018,none,94.15
NOLSM24124,17-02-2019 ?? 9:04:30,1,24,3,Oxidation,wet,1067.237334,O2,37.17,0.205,137,704.101,3,Photo,1.12362,17.92,14.929,20,200.741,90.001,501.31,3952.67,5052.23,5.035,90.441,30.004,1,37.522,Hg-Arc,H,436,514.823,108.116,3,Etching,355,1523,3661,5688,71.744,50.936,1.06,3,Implantation,5.21E+15,4.09E+16,6.66E+17,3.01E+17,6.00E+17,31614.158,0.01,104.38,917,155,130,02-18-2018,none,93.5
NOLSM25125,17-02-2019 ?? 9:04:30,1,25,3,Oxidation,wet,1035.356914,H2O,35.36,0.21,125,715.292,3,Photo,1.62494,20.149,14.995,19.994,200.56,90.001,500.285,3972.34,5047.799,5.008,91.096,29.994,2,27.664,Hg-Arc,G,405,494.166,111.283,2,Etching,358,1437,3646,5702,71.199,51.446,1.024,2,Implantation,1.77E+16,1.31E+17,9.92E+17,3.01E+17,6.00E+17,30534.747,0.01,100.517,915,156,70,02-18-2018,none,96.5
NOLSM26126,17-02-2019 ?? 9:04:30,1,26,3,Oxidation,wet,1104.129739,O2,39.02,0.206,204,696.973,3,Photo,1.18246,17.655,15.036,20.005,198.828,90,504.606,4017.144,5018.69,4.909,90.377,30.013,3,49.36,Hg-Arc,G,436,533.105,106.293,1,Etching,210,1671,3637,5710,71.553,50.168,1.011,1,Implantation,2.05E+16,1.43E+17,5.00E+17,3.00E+17,6.00E+17,32268.828,0.01,102.998,898,159,90,02-18-2018,none,95.5
NOLSM27127,17-02-2019 ?? 9:04:30,1,27,1,Oxidation,dry,956.156908,H2O,33.41,0.218,144,713.383,1,Photo,1.22609,19.821,14.96,19.998,198.925,90.001,503.84,4072.913,5016.378,5.104,88.887,29.992,1,40.752,Hg-Arc,G,405,518.976,109.532,1,Etching,353,1576,3655,5704,69.65,51.216,1.053,1,Implantation,1.01E+16,2.13E+16,7.53E+17,3.02E+17,6.00E+17,31093.054,0.01,101.814,903,156,146,02-18-2018,none,92.7
NOLSM2821,18-02-2019 ?? 9:04:30,2,1,1,Oxidation,dry,1058.827973,O2,32.41,0.209,114,707.44,1,Photo,1.81419,16.921,15.102,19.995,198.225,90,503.181,4084.939,4933.829,5.061,90.515,30.011,2,43.579,Hg-Arc,H,405,472.853,106.798,2,Etching,402,1399,3648,5735,70.341,51.052,1.06,2,Implantation,5.93E+15,9.22E+16,1.20E+17,3.00E+17,6.00E+17,31490.992,0.01,105.795,890,154,91,02-19-2018,none,95.45
NOLSM2922,18-02-2019 ?? 9:04:30,2,2,1,Oxidation,dry,1240.289547,H2O,37.48,0.204,106,707.18,1,Photo,1.89693,13.908,14.999,19.995,199.62,89.999,493.831,4045.078,5009.51,4.92,89.336,29.991,3,44.797,Hg-Arc,G,405,534.455,109.373,3,Etching,288,1457,3669,5712,71.972,52.479,1.042,3,Implantation,1.12E+16,9.48E+16,5.56E+17,3.01E+17,6.00E+17,32725.266,0.01,103.911,911,156,109,02-19-2018,none,94.55
NOLSM3023,18-02-2019 ?? 9:04:30,2,3,1,Oxidation,dry,1097.008332,H2O,32.84,0.206,165,714.239,2,Photo,1.21682,14.435,15.059,20,199.343,90,504.01,4010.176,5055.398,5.096,92.718,30.011,1,42.474,Hg-Arc,G,365,541.607,107.068,3,Etching,475,1425,3642,5712,71.448,51.337,1.016,3,Implantation,7.30E+15,6.26E+16,8.16E+17,3.01E+17,6.00E+17,31538.328,0.01,103.924,896,152,93,02-19-2018,none,95.35
NOLSM3124,18-02-2019 ?? 9:04:30,2,4,1,Oxidation,wet,1133.01699,O2,32.35,0.201,174,704.313,2,Photo,0.08372,13.612,14.976,19.998,200.716,90,499.668,4080.116,5004.189,4.934,92.045,30.004,3,46.074,Hg-Arc,H,436,542.378,107.179,1,Etching,124,1571,3644,5705,71.456,50.466,1.04,1,Implantation,1.79E+16,9.12E+16,6.31E+17,3.00E+17,6.00E+17,31998.259,0.01,100.411,920,154,42,02-19-2018,none,97.9
NOLSM3225,18-02-2019 ?? 9:04:30,2,5,1,Oxidation,dry,1023.121162,H2O,37.89,0.204,75,699.531,3,Photo,1.00456,14.795,15.077,20.005,197.232,89.999,499.414,4039.539,5118.878,5.062,91.009,30.002,1,63.17,Hg-Arc,H,436,510.897,108.38,1,Etching,479,1655,3653,5687,71.025,50.813,1.034,1,Implantation,9.72E+15,8.64E+16,6.33E+17,3.00E+17,6.00E+17,31811.636,0.01,103.273,923,154,149,02-19-2018,none,92.55
NOLSM3326,18-02-2019 ?? 9:04:30,2,6,1,Oxidation,dry,1101.396388,H2O,31.7,0.21,167,702.707,3,Photo,1.59129,17.679,15.047,19.998,195.711,90.001,498.501,4104.008,4976.329,5.118,90.552,29.995,3,34.847,Hg-Arc,H,365,518.154,106.26,3,Etching,395,1259,3666,5729,71.306,51.814,1.02,3,Implantation,1.34E+16,1.69E+17,3.92E+17,3.01E+17,6.00E+17,32124.08,0.01,104.34,900,157,77,02-19-2018,none,96.15
NOLSM3427,18-02-2019 ?? 9:04:30,2,7,2,Oxidation,dry,1159.860168,H2O,30.63,0.202,151,706.277,1,Photo,1.15523,18.779,14.938,19.997,205.521,90.001,495.38,4036.214,5079.015,5.004,94.494,30.014,1,34.181,Hg-Arc,H,436,541.412,111.001,3,Etching,387,1531,3658,5708,71.297,50.787,1.031,3,Implantation,8.52E+15,1.90E+17,5.61E+17,2.98E+17,6.00E+17,30891.41,0.01,100.362,910,154,105,02-19-2018,none,94.75
NOLSM3528,18-02-2019 ?? 9:04:30,2,8,2,Oxidation,dry,1041.009606,O2,35.88,0.221,113,713.085,1,Photo,1.33389,17.805,15.024,19.998,193.229,90.001,495.848,4082.9,5024.711,4.881,92.963,30.009,2,24.236,Hg-Arc,G,365,520.185,107.77,2,Etching,304,1555,3685,5693,70.839,50.837,1.028,2,Implantation,9.28E+15,1.04E+17,8.95E+17,3.01E+17,6.00E+17,31517.072,0.01,105.868,885,153,176,02-19-2018,none,91.2
NOLSM3629,18-02-2019 ?? 9:04:30,2,9,2,Oxidation,dry,1131.774318,O2,42.9,0.199,64,703.97,1,Photo,0.82029,13.068,14.989,20,200.843,90.001,499.291,4003,4996.567,5.066,92.554,30.007,3,64.634,Hg-Arc,I,436,495.864,108.077,1,Etching,484,1604,3668,5694,69.835,52.027,1.04,1,Implantation,1.42E+16,1.32E+17,8.00E+17,3.00E+17,6.00E+17,31790.504,0.01,100.638,867,150,115,02-19-2018,none,94.25
NOLSM37210,18-02-2019 ?? 9:04:30,2,10,2,Oxidation,wet,1011.580452,O2,27.08,0.2,113,711.401,2,Photo,1.20012,17.634,14.914,19.998,197.875,90,505.532,4067.864,5103.516,4.946,94.745,30,1,34.175,Hg-Arc,G,436,546.682,108.891,1,Etching,147,1492,3654,5716,70.848,51.578,1.001,1,Implantation,6.52E+15,8.25E+16,6.08E+17,3.01E+17,6.00E+17,32067.825,0.01,102.656,901,154,69,02-19-2018,none,96.55
NOLSM38211,18-02-2019 ?? 9:04:30,2,11,2,Oxidation,dry,1096.890728,H2O,39.28,0.193,147,723.358,2,Photo,1.37639,15.585,14.848,20.001,204.07,90.001,503.348,4024.495,5011.014,4.938,89.548,30,2,43.434,Hg-Arc,G,405,501.061,106.848,2,Etching,543,1349,3658,5709,70.915,51.108,1.036,2,Implantation,1.42E+16,1.49E+17,5.79E+17,3.01E+17,6.00E+17,31126.867,0.01,105.072,893,158,128,02-19-2018,none,93.6
NOLSM39212,18-02-2019 ?? 9:04:30,2,12,2,Oxidation,wet,910.9641205,H2O,29.1,0.215,128,713.195,2,Photo,1.88889,19.247,14.934,19.994,201.964,90,500.256,4021.57,5107.302,4.986,92.897,29.999,3,43.808,Hg-Arc,H,365,539.401,108.757,3,Etching,620,1462,3641,5734,69.914,51.379,1.037,3,Implantation,1.13E+16,1.13E+17,6.93E+16,2.99E+17,6.00E+17,31104.203,0.01,102.618,923,157,129,02-19-2018,none,93.55
NOLSM40213,18-02-2019 ?? 9:04:30,2,13,2,Oxidation,dry,1167.0116,O2,27.49,0.201,68,708.223,3,Photo,1.43766,15.3,15.023,20.001,200.642,89.999,503.656,4030.974,5017.72,5.07,90.439,30.006,1,50.402,Hg-Arc,H,365,503.268,107.918,3,Etching,404,1499,3648,5725,70.941,51.727,1.045,3,Implantation,1.11E+16,1.23E+17,4.51E+17,3.02E+17,6.00E+17,32566.66,0.01,99.988,887,155,132,02-19-2018,none,93.4
NOLSM41214,18-02-2019 ?? 9:04:30,2,14,2,Oxidation,dry,1031.064061,H2O,34.11,0.205,129,709.468,3,Photo,1.57824,14.855,15.019,20.003,198.568,90.001,506.09,4016.14,4899.117,4.999,93.896,29.996,2,59.605,Hg-Arc,G,436,550.733,107.356,2,Etching,389,1522,3628,5738,71.774,51.297,1.054,2,Implantation,1.03E+16,8.15E+16,6.38E+17,3.01E+17,6.00E+17,32521.877,0.01,99.525,892,153,99,02-19-2018,none,95.05
NOLSM42215,18-02-2019 ?? 9:04:30,2,15,2,Oxidation,dry,1180.339485,H2O,37.93,0.212,179,702.876,3,Photo,1.11559,15.425,14.776,20,196.989,90,500.146,3995.851,5040.55,4.989,92.294,30.003,3,50.867,Hg-Arc,G,365,509.452,107.074,1,Etching,228,1219,3658,5717,69.947,51.177,1.019,1,Implantation,1.33E+16,3.68E+16,4.29E+17,3.01E+17,6.00E+17,31358.645,0.01,105.044,899,152,62,02-19-2018,none,96.9
NOLSM43216,18-02-2019 ?? 9:04:30,2,16,3,Oxidation,wet,1030.763662,O2,33.82,0.213,55,705.424,1,Photo,1.61413,15.302,15.033,20.001,201.671,90,503.13,4068.598,5097.52,5.04,93.479,29.995,1,30.188,Hg-Arc,I,365,536.552,109.892,1,Etching,480,1382,3689,5722,71.607,50.932,1.034,1,Implantation,1.06E+16,1.22E+16,3.96E+17,3.01E+17,6.00E+17,31818.475,0.01,102.605,920,152,125,02-19-2018,none,93.75
NOLSM44217,18-02-2019 ?? 9:04:30,2,17,3,Oxidation,wet,1154.106984,H2O,33.08,0.205,121,694.973,1,Photo,1.32311,19.33,14.895,19.999,200.472,90,501.31,4032.002,5025.811,4.856,92.399,29.999,2,51.146,Hg-Arc,G,436,516.135,108.357,2,Etching,324,1624,3640,5743,71.176,52.269,1.032,2,Implantation,1.69E+16,9.40E+16,5.70E+17,3.01E+17,6.00E+17,31391.261,0.01,106.14,911,159,97,02-19-2018,none,95.15
NOLSM45218,18-02-2019 ?? 9:04:30,2,18,3,Oxidation,dry,984.8097387,H2O,35.14,0.21,125,699.61,1,Photo,1.08216,14.202,15.039,20.003,195.62,90.001,502.024,4061.169,4970.858,4.994,91.181,30.004,3,51.079,Hg-Arc,G,365,540.772,108.067,3,Etching,208,1474,3646,5737,70.758,51.796,1.008,3,Implantation,6.16E+15,1.62E+17,5.93E+17,3.01E+17,6.00E+17,32378.318,0.01,104.608,900,150,62,02-19-2018,none,96.9
NOLSM46219,18-02-2019 ?? 9:04:30,2,19,3,Oxidation,dry,1141.708438,H2O,25.2,0.195,186,709.326,2,Photo,1.53915,15.979,14.981,20.001,204.061,89.999,504.875,4055.237,5070.02,5.038,93.341,29.993,1,34.118,Hg-Arc,G,365,556.889,107.878,3,Etching,419,1528,3677,5728,70.973,51.77,1.012,3,Implantation,1.05E+16,1.83E+17,6.40E+17,3.00E+17,6.00E+17,31655.809,0.01,106.163,892,151,157,02-19-2018,none,92.15
NOLSM47220,18-02-2019 ?? 9:04:30,2,20,3,Oxidation,wet,1183.72364,H2O,32.31,0.225,178,703.43,2,Photo,1.85115,15.467,15.167,19.999,201.84,89.999,500.488,4080.602,4922.31,5.002,92.275,30.002,2,29.099,Hg-Arc,G,405,533.306,108.546,2,Etching,481,1479,3648,5710,71.049,51.212,1.024,2,Implantation,1.22E+16,8.92E+16,1.19E+17,3.00E+17,6.00E+17,31475.03,0.01,104.423,867,155,184,02-19-2018,none,90.8
NOLSM48221,18-02-2019 ?? 9:04:30,2,21,3,Oxidation,dry,1226.02363,O2,31.05,0.202,135,693.884,2,Photo,1.49594,16.292,14.955,20.003,203.373,90,502.747,3892.298,5020.408,4.925,92.602,30.002,3,58.236,Hg-Arc,H,436,518.361,109.099,1,Etching,319,1676,3672,5722,70.119,51.77,1.033,1,Implantation,1.01E+16,1.34E+17,5.19E+17,3.01E+17,6.00E+17,32535.703,0.01,100.868,894,153,128,02-19-2018,none,93.6
NOLSM49222,18-02-2019 ?? 9:04:30,2,22,3,Oxidation,dry,1189.47041,O2,44.4,0.21,91,712.072,3,Photo,1.17906,15.389,14.924,20.003,199.778,89.999,497.443,4003.755,4987.505,5.052,90.014,30.004,1,50.242,Hg-Arc,H,405,511.164,107.421,1,Etching,411,1499,3654,5732,72.115,50.716,1.037,1,Implantation,6.90E+15,7.73E+16,7.22E+17,3.00E+17,6.00E+17,30855.391,0.01,104.158,891,151,171,02-19-2018,none,91.45
NOLSM50223,18-02-2019 ?? 9:04:30,2,23,3,Oxidation,dry,1080.213522,H2O,32.52,0.193,90,707.578,3,Photo,0.99842,15.637,15.084,19.999,203.21,89.999,495.55,4108.316,5063.6,5.045,91.947,29.998,2,48.317,Hg-Arc,G,405,534.801,108.139,2,Etching,339,1407,3643,5711,70.245,50.29,1.017,2,Implantation,1.58E+16,7.24E+16,1.70E+17,3.00E+17,6.00E+17,31108.4,0.01,102.193,871,159,59,02-19-2018,none,97.05
NOLSM51224,18-02-2019 ?? 9:04:30,2,24,3,Oxidation,dry,1139.689998,O2,37.34,0.205,86,706.773,3,Photo,0.83508,15.27,15.1,19.999,197.994,90,502.14,3948.707,4974.792,5.05,91.942,29.994,3,47.379,Hg-Arc,I,365,500.101,108.25,3,Etching,237,1375,3635,5722,70.437,50.087,1.027,3,Implantation,9.80E+15,1.17E+17,9.72E+17,2.99E+17,6.00E+17,31638.792,0.01,105.637,920,157,42,02-19-2018,none,97.9
NOLSM52225,18-02-2019 ?? 9:04:30,2,25,1,Oxidation,wet,1070.574238,O2,35.21,0.21,56,714.762,1,Photo,0.76893,15.085,14.983,20.003,200.863,90.002,503.209,3957.686,5089.309,4.91,94.751,29.996,1,49.091,Hg-Arc,G,365,511.047,109.34,3,Etching,272,1485,3663,5716,70.888,51.091,1.014,3,Implantation,6.71E+15,1.33E+17,5.45E+17,3.01E+17,6.00E+17,32033.214,0.01,103.982,905,152,94,02-19-2018,none,95.3
NOLSM53226,18-02-2019 ?? 9:04:30,2,26,1,Oxidation,wet,1035.612398,H2O,39.84,0.22,126,697.495,1,Photo,1.37351,17.717,15.013,19.99,201.966,90,500.521,4004.511,4966.455,4.988,91.712,29.997,2,41.355,Hg-Arc,I,365,522.118,108.789,2,Etching,616,1374,3651,5724,70.392,50.488,1.056,2,Implantation,1.28E+16,7.66E+16,5.94E+17,2.99E+17,6.00E+17,31929.509,0.01,102.576,893,154,114,02-19-2018,none,94.3
